Citance Number: 1 | Reference Article:  P06-1114.txt | Citing Article:  W06-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For more information on the TE system described in this section, please see (Hickl et al, 2006b) and (Harabagiu and Hickl, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The performance of the TE system described in Section 3 was first evaluated in the 2006 PASCAL RTE Challenge.</S><S sid = NA ssid = NA>As in (Hickl et al., 2006), we used a twostep approach to obtain sufficient training data for the Alignment Classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1114.txt | Citing Article:  W06-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following (Harabagiu and Hickl, 2006), we used TE information in order to filter answers identified by the Q/A system that were not entailed by the user's original question.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When TE was used to filter non-entailed answers from consideration (Method 1), the overall accuracy of the Q/A system increased by 12% over the baseline (when an EAT could be identified) and by nearly 9% (when no EAT could be identified).</S><S sid = NA ssid = NA>Table 2: TE between AGQs and user question.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1114.txt | Citing Article:  P14-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While it has been shown that paraphrasing methods are useful for question answering (Harabagiu and Hickl, 2006) and relation extraction (Romano et al, 2006), this is, to the best of our knowledge, the first paper to perform semantic parsing through paraphrasing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Methods For Using Textual Entailment In Open-Domain Question Answering</S><S sid = NA ssid = NA>Four types of sentence pairs were evaluated in the 2006 RTE Challenge, including: pairs derived from the output of In previous work (Hickl et al., 2006), we have found that the type and amount of training data available to our TE system significantly (p < 0.05) impacted its performance on the 2006 RTE Test Set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1114.txt | Citing Article:  P09-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to improve QA systems' performance many research focus on different structures such as question processing (Huang et al., 2008), information retrieval (Clarke et al., 2006), information extraction (Saggion and Gaizauskas, 2006), textual entailment (TE) (Harabagiu and Hickl, 2006) for ranking, answer extraction, etc.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Four types of sentence pairs were evaluated in the 2006 RTE Challenge, including: pairs derived from the output of In previous work (Hickl et al., 2006), we have found that the type and amount of training data available to our TE system significantly (p < 0.05) impacted its performance on the 2006 RTE Test Set.</S><S sid = NA ssid = NA>As in (Hickl et al., 2006), we used a twostep approach to obtain sufficient training data for the Alignment Classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


