Citance Number: 1 | Reference Article: W03-0410.xml | Citing Article: D07-1018.xml | Citation Marker Offset: ['9'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">Stevenson and Joanis, 2003 for English semantic verb classes</S> | Reference Offset: ['192','120','51'] | Reference Text: <S sid="51" ssid="1">We use the same classes and example verbs as in the supervised experiments of Joanis and Stevenson (2003) to enable a comparison between the performance of the unsupervised and supervised methods.</S> <S sid="120" ssid="70">Of these verbs, 20 from each class were randomly selected to use as training data for our supervised experiments in Joanis and Stevenson (2003).</S> <S sid="192" ssid="30">Following Joanis and Stevenson (2003), for each class, we systematically identified the subset of features 4 These results differ slightly from those reported in Joanis and Stevenson (2003), because of our slight changes in verb sets, discussed in Section 3.2.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 2 | Reference Article: W03-0410.xml | Citing Article: D09-1138.xml | Citation Marker Offset: ['25'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['25'] | Citation Text: <S sid ="25" ssid = "25">Supervised methods for automatic verb classification have been extensively investigated (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S> | Reference Offset: ['4','272','15'] | Reference Text: <S sid="4" ssid="4">We investigate various approaches to feature selection, using both unsupervised and semi-supervised methods, comparing the results to subsets of features manually chosen according to linguistic properties.</S> <S sid="15" ssid="15">Development of minimally supervised methods is of particular importance if we are to automatically classify verbs for languages other than English, where substantial amounts of labelled data are not available for training classifiers.</S> <S sid="272" ssid="12">Our next step is to explore these issues, and investigate other methods appropriate to the practical problem of grouping verbs in a new language.</S> | Discourse Facet: Implication_Citation | Annotator: Fathima Vardha


Citance Number: 3 | Reference Article: W03-0410.xml | Citing Article: D09-1138.xml | Citation Marker Offset: ['70'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['70'] | Citation Text: <S sid ="70" ssid = "43">The present work inherits the spirit of the supervised approaches to verb classification (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S> | Reference Offset: ['208','9','2'] | Reference Text: <S sid="2" ssid="2">The feature set was previously shown to work well in a supervised learning setting, using known English verb classes.</S> <S sid="9" ssid="9">A number of supervised learning approaches have extracted such information about verbs from corpora, including their argument roles (Gildea and Jurafsky, 2002), selectional preferences (Resnik, 1996), and lexical semantic classification (i.e., grouping verbs according to their argument structure properties) (Dorr and Jones, 1996; Lapata and Brew, 1999; Merlo and Stevenson, 2001; Joanis and Stevenson, 2003).</S> <S sid="208" ssid="46">In the next two sections, we present unsupervised and minimally supervised approaches to this problem.</S> | Discourse Facet: Results_Citation | Annotator: Fathima Vardha


Citance Number: 4 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['17'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['17'] | Citation Text: <S sid ="17" ssid = "17">We adopt as our baseline method a well-known hierarchical method ÃḃÂÂ agglomerative clustering (AGG) ÃḃÂÂ which has been previously used to acquire flat Levin-style classifications (Stevenson and Joanis, 2003)</S> | Reference Offset: ['2','131','17'] | Reference Text: <S sid="2" ssid="2">The feature set was previously shown to work well in a supervised learning setting, using known English verb classes.</S> <S sid="17" ssid="17">We have previously shown that a broad set of 220 noisy features performs well in supervised verb classification (Joanis and Stevenson, 2003).</S> <S sid="131" ssid="2">We used the hierarchical clustering command in Matlab, which implements bottom-up agglomerative clustering, for all our unsupervised experiments.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha

