Citance Number: 1 | Reference Article:  P98-1035.txt | Citing Article:  P00-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>But (Chelba and Jelinek, 1998) chooses the lexical heads of the two previous constituents as determined by a shift-reduce parser, and works better than a trigram model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The probability associated with each model action is determined as described in section 3.1, based on counts C(m)(y(m), x(m)), one set for each model component.</S><S sid = NA ssid = NA>Our solution is inspired by an HMM re-estimation technique that works on pruned — N-best — trellises(Byrne et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-1035.txt | Citing Article:  I05-5012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This marraige of models has been tested in other fields such as speech recognition (Chelba and Jelinek, 1998) with success.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The probabilistic model, its parameterization and a few experiments that are meant to evaluate its potential for speech recognition are presented.</S><S sid = NA ssid = NA>The model assigns probability to every joint sequence of words-binary-parse-structure with headword annotation and operates in a left-to-right manner — therefore usable for automatic speech recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-1035.txt | Citing Article:  N01-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Chelba and Jelinek, 1998) combine unlabeled and labeled data for parsing with a view towards language modeling applications.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Exploiting Syntactic Structure for Language Modeling</S><S sid = NA ssid = NA>This is the main difference between our approach and other approaches to statistical natural language parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-1035.txt | Citing Article:  N01-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Aware that the n-gram obscures many linguistically-signi cant distinctions (Chomsky, 1956, section 2.3), many speech researchers (Jelinek and Laerty, 1991) sought to incorporate hierarchical phrase structure into language modeling (see (Stolcke, 1997)) although it was not until the late 1990s that such models were able to signi cantly improve on 3-grams (Chelba and Jelinek, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Exploiting Syntactic Structure for Language Modeling</S><S sid = NA ssid = NA>The headword of a phrase is the word that best represents the phrase, all the other words in the phrase being modifiers of the headword.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P98-1035.txt | Citing Article:  W00-1301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The language model described by Chelba and Jelinek (1998) similarly conditions on linguistically relevant words by assigning partial phrase structure to the history and percolating headwords.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The linguistically correct partial parse of the word history when predicting after is shown in Figure 1.</S><S sid = NA ssid = NA>The headword of a phrase is the word that best represents the phrase, all the other words in the phrase being modifiers of the headword.</S> | Discourse Facet:  NA | Annotator: Automatic


