Citance Number: 1 | Reference Article:  P04-1054.txt | Citing Article:  P04-3022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, (Zelenko et al, 2003) have proposed extracting relations by computing kernel functions between parse trees and (Culotta and Sorensen, 2004) have extended this work to estimate kernel functions between augmented dependency trees.</S> | Reference Offset:  ['89','105'] | Reference Text:  <S sid = 89 ssid = >We now define a kernel function for dependency trees.</S><S sid = 105 ssid = >See Zelenko et al. (2003) for a proof that K is kernel function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1054.txt | Citing Article:  D07-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta and Sorensen (2004) extended this work to estimate similarity between augmented dependency trees and achieved the F-measure of 45.8 on the 5 relation types in the ACE RDC 2003 corpus.</S> | Reference Offset:  ['1','23'] | Reference Text:  <S sid = 1 ssid = >We extend previous work on tree kernels to estimate the similarity between the dependency trees of sentences.</S><S sid = 23 ssid = >We represent each relation instance as an augmented dependency tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1054.txt | Citing Article:  D07-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This makes it suffer from the similar behavior with that of Culotta and Sorensen (2004): high precision but very low recall.</S> | Reference Offset:  ['137','153'] | Reference Text:  <S sid = 137 ssid = >Table 4 shows that precision is adequate, but recall is low.</S><S sid = 153 ssid = >While the dependency tree kernel appears to perform well at the task of classifying relations, recall is still relatively low.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1054.txt | Citing Article:  D07-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['61','165'] | Reference Text:  <S sid = 61 ssid = >To classify an unseen instance x, the classifier first projects x into the feature space defined by the kernel function.</S><S sid = 165 ssid = >It is worthwhile to characterize relation types that are better captured by the sparse kernel, and to determine when using the sparse kernel is worth the increased computational burden.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P04-1054.txt | Citing Article:  E06-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta and Sorensen (2004) describe a slightly generalized version of this kernel based on dependency trees, in which a bag-of words kernel is used to compensate for errors in syntactic analysis.</S> | Reference Offset:  ['91','152'] | Reference Text:  <S sid = 91 ssid = >We define a slightly more general version of the kernel described by Zelenko et al. (2003).</S><S sid = 152 ssid = >We have shown that using a dependency tree kernel for relation extraction provides a vast improvement over a bag-of-words kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


