Citance Number: 1 | Reference Article:  C04-1051.txt | Citing Article:  W04-3219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We are currently experimenting with data extracted from the first two sentences in each article, which by journalistic convention tend to summarize content (Dolan et al 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>a newspaper article typically summarize its content.</S><S sid = NA ssid = NA>To isolate just those sentence pairs that represent likely paraphrases without requiring significant string similarity, we exploited a common journalistic convention: the first sentence or two of 3A maximum Levenshtein distance of 12 was selected for the purposes of this paper on the basis of experiments with corpora extracted at various edit distances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1051.txt | Citing Article:  P14-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The dataset is 5,801 pairs of sentences collected from news sources (Dolan et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We investigate unsupervised techniques for acquiring monolingual sentence-level paraphrases from a corpus of temporally and topically clustered news articles collected from thousands of web-based news sources.</S><S sid = NA ssid = NA>While the idea of exploiting multiple news reports for paraphrase acquisition is not new, previous efforts (for example, Shinyama et al 2002; Barzilay and Lee 2003) have been restricted to at most two news sources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1051.txt | Citing Article:  I05-5001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The F2 dataset was constructed from the first two sentences of the corpus on the same assumptions as those used in Dolan et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will refer to this collection as the F2 corpus.</S><S sid = NA ssid = NA>We will refer to this dataset as L12.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1051.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For these reasons, we used the Microsoft Research Paraphrase Corpus (MSRPC) introduced by Dolan et al2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We conclude that paraphrase research would benefit by identifying richer data sources and developing appropriate learning techniques.</S><S sid = NA ssid = NA>Each corpus was used as input to the word alignment algorithms available in Giza++ (Och & Ney 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


