Citance Number: 1 | Reference Article:  J08-1002.txt | Citing Article:  D09-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These corpora are automatically parsed by Enju 2.3.1 (Miyao and Tsujii, 2008), and the features are extracted from the parsing results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following experiments, we use Enju 2.1 (Tsujii Laboratory 2004), which is a widecoverage HPSG grammar extracted from the Penn Treebank by the method of Miyao, Ninomiya, and Tsujii (2005).</S><S sid = NA ssid = NA>We describe methods for representing HPSG parse trees and predicate–argument structures using feature forests (Miyao, Ninomiya, and Tsujii 2003; Miyao and Tsujii 2003, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J08-1002.txt | Citing Article:  P14-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Takashi Ninomiya and Kenji Sagae for their precious support.</S><S sid = NA ssid = NA>Simplified representation of the lexical entry in Figure 10. predicate–argument structure of a phrase/sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J08-1002.txt | Citing Article:  P11-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following our precious work (Wu et al, 2010), we use head-drive phrase structure grammar (HPSG) forests generated by Enju (Miyao and Tsujii, 2008), which is a state-of-the-art HPSG parser for English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In all of the following experiments, we use the HPSG grammar developed by the method of Miyao, Ninomiya, and Tsujii (2005).</S><S sid = NA ssid = NA>In the following experiments, we use Enju 2.1 (Tsujii Laboratory 2004), which is a widecoverage HPSG grammar extracted from the Penn Treebank by the method of Miyao, Ninomiya, and Tsujii (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J08-1002.txt | Citing Article:  W10-1762.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As the syntactic parser, we used the Enju (Miyao and Tsujii, 2008) English HPSG parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The methods we propose here were applied to an English HPSG parser, Enju (Tsujii Laboratory 2004).</S><S sid = NA ssid = NA>We therefore conclude that the HPSG parser for English is moving toward a practical level of use in real-world applications.</S> | Discourse Facet:  NA | Annotator: Automatic


