Citance Number: 1 | Reference Article:  J03-1005.txt | Citing Article:  W03-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use a DP-based beam search procedure similar to the one presented in (Tillmann and Ney, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have presented a DP-based beam search algorithm for the IBM-4 translation model.</S><S sid = NA ssid = NA>A data-driven beam search approach is presented on the basis of this DP-based algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J03-1005.txt | Citing Article:  W03-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The same beam-search pruning as described in (Tillmann and Ney, 2003) is used.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The implementation described here is similar to that used in beam search speech recognition systems, as presented in Ney et al. (1992).</S><S sid = NA ssid = NA>It is based on the pruning thresholds described in Section 3.8.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J03-1005.txt | Citing Article:  W06-3120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Related works either deal with reordering in general as (Kanthak et al, 2005) or deal with local reordering as (Tillmann and Ney, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In order to deal with the IBM-4 fertility parameters within the DP-based concept, we adopt the distinction between open and closed hypotheses given in Berger et al. (1996).</S><S sid = NA ssid = NA>Additionally, a set of four states is introduced to deal with grammatical reordering restrictions (e.g., for the translation direction German to English, the word order difference between the two languages is mainly due to the German verb group.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J03-1005.txt | Citing Article:  W04-3255.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wand and Waibel (1997) and Tillmann and Ney (2003) proposed breadth-first search methods, i.e. beam search.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In combination with the reordering restrictions, a data-driven beam search organization for the search procedure is proposed.</S><S sid = NA ssid = NA>Wang and Waibel (1997) presents a search algorithm for the IBM-2 translation model based on the A∗ concept and multiple stacks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J03-1005.txt | Citing Article:  H05-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A monotone decoder similar to (Tillmann and Ney, 2003) with a trigram language model is set up for translations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The language model probability is computed using a trigram language model.</S><S sid = NA ssid = NA>Here, we will use a trigram language model and the translation model presented in Brown et al. (1993).</S> | Discourse Facet:  NA | Annotator: Automatic


