Citance Number: 1 | Reference Article:  C88-1016.txt | Citing Article:  C90-3063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consider, for example, the following sentence, taken from the Hansard corpus of the proceedings of the Canadian parliament [Brown et al 1988]: (1) They know full well that the companies held tax money aside for collection later on the b~sis that the government said it was going to collect it.</S> | Reference Offset:  ['15','198'] | Reference Text:  <S sid = 15 ssid = >I l l  particular, we have chosen to work with the English and French languages because we were able to obtain the biqingual l lansard corpus of proceedings of the Canadian parliament containing 30 million words of text [8].</S><S sid = 198 ssid = >this he did several hours later.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C88-1016.txt | Citing Article:  W12-0209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Parallel corpora have received a lot of attention since the advent of statistical machine translation (Brown et al, 1988) where they serve as training material for the underlying alignment models.</S> | Reference Offset:  ['106','165'] | Reference Text:  <S sid = 106 ssid = >Carry out steps 1 and 2 for all sentence pairs of tile training text.</S><S sid = 165 ssid = >Fcrguson, Ed., ltldden Marker Models for Speech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C88-1016.txt | Citing Article:  H05-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most successful translation models that are found in the literature exploit finite-state machinery. The approach started with the so-called IBM models (Brown et al, 1988), implementing a set of elementary operations, such as movement, duplication and translation, that independently act on individual words in the source sentence.</S> | Reference Offset:  ['5','52'] | Reference Text:  <S sid = 5 ssid = >The steps of the proposed translation process are: (1) Partition the source text into a set of fixed locutioris.</S><S sid = 52 ssid = >Initially set C(e~,f) = 0 for words et.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C88-1016.txt | Citing Article:  P01-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Developing a better TM is a fundamental issue for those applica tions. Researchers at IBM first described such a statistical TM in (Brown et al, 1988).</S> | Reference Offset:  ['4','108'] | Reference Text:  <S sid = 4 ssid = >Fundamental to the technique is a complex glossary of correspondence of fixed locutions.</S><S sid = 108 ssid = >Forttmately, the difficulty can be alleviated by use of itcrative re-estimation, which is a technique that starts out by guessing the values of unknown quantities and gradually re-adjusts them so as to account better and better for given data [ 11 ].</S> | Discourse Facet:  NA | Annotator: Automatic


