Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citing Article,Reference Article,Reference Citation,Reference Offset,Reference Text,Reference Text Clean,fileName,Discourse Facet
1,1999,0,0,1 Introduct ion Henderson and Brill (1999) showed that independent human research efforts produce parsers that can be combined for an overall boost in accuracy,A00-2005,W99-0623,,'57',"<S sid=""57"" ssid=""43"">The combining technique must act as a multi-position switch indicating which parser should be trusted for the particular sentence.</S>","<S sid=""57"" ssid=""43"">The combining technique must act as a multi-position switch indicating which parser should be trusted for the particular sentence.</S>",W99-0623.csv,Method_Citation
2,1999,0,0,the collection of hypotheses ti =fi (Stest) using the unweighted constituent voting scheme of Henderson and Brill (1999),A00-2005,W99-0623,,'24',"<S sid=""24"" ssid=""10"">We include a constituent in our hypothesized parse if it appears in the output of a majority of the parsers.</S>","<S sid=""24"" ssid=""10"">We include a constituent in our hypothesized parse if it appears in the output of a majority of the parsers.</S>",W99-0623.csv,Results_Citation
4,"Henderson and Brill, 1999",0,0,"5 (Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers",N10-1091,W99-0623,,'130',"<S sid=""130"" ssid=""59"">The PCFG was trained from the same sections of the Penn Treebank as the other three parsers.</S>","<S sid=""130"" ssid=""59"">The PCFG was trained from the same sections of the Penn Treebank as the other three parsers.</S>",W99-0623.csv,Method_Citation
5,"Henderson and Brill, 1999",0,0,"A successful application of voting and of a stacked classifier to constituent parsing followed in (Henderson and Brill, 1999)",W05-1518,W99-0623,,'11',"<S sid=""11"" ssid=""7"">Similar advances have been made in machine translation (Frederking and Nirenburg, 1994), speech recognition (Fiscus, 1997) and named entity recognition (Borthwick et al., 1998).</S>","<S sid=""11"" ssid=""7"">Similar advances have been made in machine translation (Frederking and Nirenburg, 1994), speech recognition (Fiscus, 1997) and named entity recognition (Borthwick et al., 1998).</S>",W99-0623.csv,Implication_Citation
6,"Henderson and Brill, 1999",0,0,"This approach roughly corresponds to (Henderson and Brill, 1999)? s Na ?ve Bayes parse hybridization",W05-1518,W99-0623,,'15',"<S sid=""15"" ssid=""1"">We are interested in combining the substructures of the input parses to produce a better parse.</S>","<S sid=""15"" ssid=""1"">We are interested in combining the substructures of the input parses to produce a better parse.</S>",W99-0623.csv,Method_Citation
7,1999,0,0,Henderson and Brill (1999) also reported that context did not help them to outperform simple voting,W05-1518,W99-0623,,'22',"<S sid=""22"" ssid=""8"">If enough parsers suggest that a particular constituent belongs in the parse, we include it.</S>","<S sid=""22"" ssid=""8"">If enough parsers suggest that a particular constituent belongs in the parse, we include it.</S>",W99-0623.csv,Method_Citation
8,"Henderson and Brill, 1999",0,0,"(Henderson and Brill, 1999) improved their best parser? s F-measure of 89.7 to 91.3, using their na ?ve Bayes voting on the Penn TreeBank constituent structures (16% error reduction)",W05-1518,W99-0623,,'94',"<S sid=""94"" ssid=""23"">This is the only important case, because otherwise the simple majority combining technique would pick the correct constituent.</S>","<S sid=""94"" ssid=""23"">This is the only important case, because otherwise the simple majority combining technique would pick the correct constituent.</S>",W99-0623.csv,Implication_Citation
10,"Henderson and Brill, 1999",0,0,"Voting has proven to be an effective technique for improving classifier accuracy for many applications, including part-of-speech tagging (van Halteren, et al 1998), parsing (Henderson and Brill, 1999), and word sense disambiguation (Pederson, 2000)",P01-1005,W99-0623,,'62',"<S sid=""62"" ssid=""48"">This is the parse that is closest to the centroid of the observed parses under the similarity metric.</S>","<S sid=""62"" ssid=""48"">This is the parse that is closest to the centroid of the observed parses under the similarity metric.</S>",W99-0623.csv,Implication_Citation
11,1999,0,0,"Regarding the system combination study, Henderson and Brill (1999) propose two parser combination schemes, one that selects an entire tree from one of the parsers, and one that builds a new tree by selecting constituents suggested by the initial trees",D09-1161,W99-0623,,'56',"<S sid=""56"" ssid=""42"">The combining algorithm is presented with the candidate parses and asked to choose which one is best.</S>","<S sid=""56"" ssid=""42"">The combining algorithm is presented with the candidate parses and asked to choose which one is best.</S>",W99-0623.csv,Method_Citation
12,1999,0,0,"Henderson and Brill (1999) combine three parsers and obtained an F1 score of 90.6, which is better than the score of 88.6 obtained by the best individual parser as reported in their paper",D09-1161,W99-0623,,'130',"<S sid=""130"" ssid=""59"">The PCFG was trained from the same sections of the Penn Treebank as the other three parsers.</S>","<S sid=""130"" ssid=""59"">The PCFG was trained from the same sections of the Penn Treebank as the other three parsers.</S>",W99-0623.csv,Method_Citation
13,"Henderson and Brill, 1999",0,0,"Besides the two model scores, we also adopt constituent count as an additional feature in spired by (Henderson and Brill 1999) and (Sagae and Lavie 2006)",D09-1161,W99-0623,,'131',"<S sid=""131"" ssid=""60"">It was then tested on section 22 of the Treebank in conjunction with the other parsers.</S>","<S sid=""131"" ssid=""60"">It was then tested on section 22 of the Treebank in conjunction with the other parsers.</S>",W99-0623.csv,Method_Citation
14,"Henderson and Brill, 1999",0,0,"Henderson and Brill (1999) proposed two parser combination schemes, one that picks an entire tree from one of the parsers, and one that, like ours, builds a new tree from constituents from the initial trees",N06-2033,W99-0623,,'56',"<S sid=""56"" ssid=""42"">The combining algorithm is presented with the candidate parses and asked to choose which one is best.</S>","<S sid=""56"" ssid=""42"">The combining algorithm is presented with the candidate parses and asked to choose which one is best.</S>",W99-0623.csv,Method_Citation
15,"Henderson and Brill, 1999",0,0,"(Henderson and Brill, 1999) perform parse selection by maximizing the expected precision of the selected parse with respect to the set of parses being combined",N09-2064,W99-0623,,'21',"<S sid=""21"" ssid=""7"">One hybridization strategy is to let the parsers vote on constituents' membership in the hypothesized set.</S>","<S sid=""21"" ssid=""7"">One hybridization strategy is to let the parsers vote on constituents' membership in the hypothesized set.</S>",W99-0623.csv,Method_Citation
16,"Henderson and Brill, 1999",0,0,"(Henderson and Brill, 1999) and (Sagae and Lavie, 2006) propose methods for parse hybridization by recombining constituents",N09-2064,W99-0623,,'46',"<S sid=""46"" ssid=""32"">None of the parsers produce parses with crossing brackets, so none of them votes for both of the assumed constituents.</S>","<S sid=""46"" ssid=""32"">None of the parsers produce parses with crossing brackets, so none of them votes for both of the assumed constituents.</S>",W99-0623.csv,Method_Citation
17,"Henderson and Brill, 1999",0,0,"output (Figure 3) .Second, the parse selection method of (Henderson and Brill, 1999) selects the parse with maximum expected precision; here, we present an efficient, linear-time algorithm for selecting the parse with maximum expected f-score within the Mini mum Bayes Risk (MBR) framework. Third, we extend these parser combination methods from 1-best outputs to n-best outputs",N09-2064,W99-0623,,'144',"<S sid=""144"" ssid=""6"">Combining multiple highly-accurate independent parsers yields promising results.</S>","<S sid=""144"" ssid=""6"">Combining multiple highly-accurate independent parsers yields promising results.</S>",W99-0623.csv,Method_Citation
18,"Henderson and Brill, 1999",0,0,"System combination has benefited various NLP tasks in recent years, such as products-of-experts (e.g., (Smith and Eisner, 2005)) and ensemble based parsing (e.g., (Henderson and Brill, 1999))",P09-1065,W99-0623,,'144',"<S sid=""144"" ssid=""6"">Combining multiple highly-accurate independent parsers yields promising results.</S>","<S sid=""144"" ssid=""6"">Combining multiple highly-accurate independent parsers yields promising results.</S>",W99-0623.csv,Method_Citation
20,1999,0,0,Henderson and Brill (1999) performs parse selection by maximizing the expected precision of selected parse with respect to the set of parses to be combined,C10-1151,W99-0623,,'86',"<S sid=""86"" ssid=""15"">Finally we show the combining techniques degrade very little when a poor parser is added to the set.</S>","<S sid=""86"" ssid=""15"">Finally we show the combining techniques degrade very little when a poor parser is added to the set.</S>",W99-0623.csv,Results_Citation
