Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text,Reference Text Clean,fileName
1,"Koehn and Monz, 2006",0,0,"The official results were slightly better because a lowercase evaluation was used, see (Koehn and Monz, 2006)",W06-3120,Results_Citation,W06-3114,'49',"<S sid=""49"" ssid=""15"">Hence, we use the bootstrap resampling method described by Koehn (2004).</S>","<S sid=""49"" ssid=""15"">Hence, we use the bootstrap resampling method described by Koehn (2004).</S>",W06-3114.csv
2,"Koehn and Monz, 2006",0,0,"We are further focusing on the shared task of the workshop on Statistical Machine Translation, which took place last year (Koehn and Monz, 2006) and consisted in translating Spanish, German, and French texts from and to English",D07-1092,Results_Citation,W06-3114,'5',"<S sid=""5"" ssid=""3"">&#8226; We evaluated translation from English, in addition to into English.</S>","<S sid=""5"" ssid=""3"">&#8226; We evaluated translation from English, in addition to into English.</S>",W06-3114.csv
3,"Koehn and Monz, 2006",0,0,"For our training and test data we used the English-French subset of the Europarl corpus provided for the shared task (Koehn and Monz, 2006) at the Statistical Machine Translation workshop held in conjunction with the 2006 HLT-NAACL conference",C08-1074,Results_Citation,W06-3114,'121',"<S sid=""121"" ssid=""14"">For the automatic scoring method BLEU, we can distinguish three quarters of the systems.</S>","<S sid=""121"" ssid=""14"">For the automatic scoring method BLEU, we can distinguish three quarters of the systems.</S>",W06-3114.csv
4,"Koehn and Monz, 2006",0,0,"The results of last year? s workshop further suggested that Bleu systematically underestimated the quality of rule-based machine translation systems (Koehn and Monz, 2006)",W07-0718,Hypothesis_Citation,W06-3114,'90',"<S sid=""90"" ssid=""6"">Another way to view the judgements is that they are less quality judgements of machine translation systems per se, but rankings of machine translation systems.</S>","<S sid=""90"" ssid=""6"">Another way to view the judgements is that they are less quality judgements of machine translation systems per se, but rankings of machine translation systems.</S>",W06-3114.csv
5,"Koehn and Monz, 2006",0,0,"For the bi text-based annotation, we use publicly available word alignments from the Europarl corpus, automatically generated by GIZA++ for FrenchEnglish (Fr), Spanish-English (Es) and GermanEnglish (De) (Koehn and Monz, 2006)",P07-1083,Results_Citation,W06-3114,'43',"<S sid=""43"" ssid=""9"">At the very least, we are creating a data resource (the manual annotations) that may the basis of future research in evaluation metrics.</S>","<S sid=""43"" ssid=""9"">At the very least, we are creating a data resource (the manual annotations) that may the basis of future research in evaluation metrics.</S>",W06-3114.csv
6,2006,0,0,"Evaluation results recently reported by Callison-Burch et al (2006) and Koehn and Monz (2006), revealed that, in certain cases, the BLEU metric may not be a reliable MTquality indicator",W07-0738,Results_Citation,W06-3114,'157',"<S sid=""157"" ssid=""50"">Almost all annotators expressed their preference to move to a ranking-based evaluation in the future.</S>","<S sid=""157"" ssid=""50"">Almost all annotators expressed their preference to move to a ranking-based evaluation in the future.</S>",W06-3114.csv
7,2006,0,0,"For instance, Callison-Burch et al (2006) and Koehn and Monz (2006) reported and analyzed several cases of strong disagreement between system rankings provided by human assessors and those produced by the BLEU metric (Papineni et al, 2001)",W07-0738,Hypothesis_Citation,W06-3114,'150',"<S sid=""150"" ssid=""43"">For some language pairs (such as GermanEnglish) system performance is more divergent than for others (such as English-French), at least as measured by BLEU.</S>","<S sid=""150"" ssid=""43"">For some language pairs (such as GermanEnglish) system performance is more divergent than for others (such as English-French), at least as measured by BLEU.</S>",W06-3114.csv
8,2006,0,0,Wepresenta comparative study on the behavior of several metric representatives from each linguistic level in the context of some of the cases reported by Koehn and Monz (2006) and Callison-Burch et al (2006) (see Section 3),W07-0738,Results_Citation,W06-3114,'133',"<S sid=""133"" ssid=""26"">Different sentence structure and rich target language morphology are two reasons for this.</S>","<S sid=""133"" ssid=""26"">Different sentence structure and rich target language morphology are two reasons for this.</S>",W06-3114.csv
9,2006,0,0,Weanalyze some of the cases reported by Koehn and Monz (2006) and Callison-Burch et al (2006),W07-0738,Hypothesis_Citation,W06-3114,'38',"<S sid=""38"" ssid=""4"">The BLEU score has been shown to correlate well with human judgement, when statistical machine translation systems are compared (Doddington, 2002; Przybocki, 2004; Li, 2005).</S>","<S sid=""38"" ssid=""4"">The BLEU score has been shown to correlate well with human judgement, when statistical machine translation systems are compared (Doddington, 2002; Przybocki, 2004; Li, 2005).</S>",W06-3114.csv
10,"Koehn and Monz, 2006",0,0,"We use the same method described in (Koehn and Monz, 2006) to perform the significance test",D07-1030,Results_Citation,W06-3114,'117',"<S sid=""117"" ssid=""10"">For instance: if 10 systems participate, and one system does better than 3 others, worse then 2, and is not significant different from the remaining 4, its rank is in the interval 3&#8211;7.</S>","<S sid=""117"" ssid=""10"">For instance: if 10 systems participate, and one system does better than 3 others, worse then 2, and is not significant different from the remaining 4, its rank is in the interval 3&#8211;7.</S>",W06-3114.csv
