Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text,Reference Text Clean,fileName
2,"Bod, 2003",0,0,"Data-Oriented Parsing (DOP)? s methodology is to calculate weighted derivations, but as noted in (Bod, 2003), it is the highest ranking parse, not derivation, that is desired",N06-1045,Method_Citation,E03-1005,'114',"<S sid=""114"" ssid=""17"">Note that Goodman's PCFG-reduction method summarized in Section 2 applies not only to Likelihood-DOP but also to Simplicity-DOP.</S>","<S sid=""114"" ssid=""17"">Note that Goodman's PCFG-reduction method summarized in Section 2 applies not only to Likelihood-DOP but also to Simplicity-DOP.</S>",E03-1005.csv
3,2003,0,0,"Goodman? s transform, in com bi nation with a range of heuristics, allowed Bod (2003) to run the DOP model on the Penn Treebank WSJ benchmark and obtain some of the best results obtained with a generative model",D07-1058,Method_Citation,E03-1005,'31',"<S sid=""31"" ssid=""28"">This resulted in a statistically consistent model dubbed ML-DOP.</S>","<S sid=""31"" ssid=""28"">This resulted in a statistically consistent model dubbed ML-DOP.</S>",E03-1005.csv
4,"Bod, 2003",0,0,"Zuidema (2006a) shows that also the estimator (Bod, 2003) uses is biased and inconsistent, and will, even in the limit of infinite data, not correctly identify many possible distributions over trees",D07-1058,Method_Citation,E03-1005,'53',"<S sid=""53"" ssid=""5"">Let tid be the i-th subtree in the derivation d that produces tree T, then the probability of T is given by Thus DOP1 considers counts of subtrees of a wide range of sizes in computing the probability of a tree: everything from counts of single-level rules to counts of entire trees.</S>","<S sid=""53"" ssid=""5"">Let tid be the i-th subtree in the derivation d that produces tree T, then the probability of T is given by Thus DOP1 considers counts of subtrees of a wide range of sizes in computing the probability of a tree: everything from counts of single-level rules to counts of entire trees.</S>",E03-1005.csv
5,"Bod, 2003",0,0,"Second, we compare against a composed-rule system, which is analogous to the Data Oriented Parsing (DOP) approach in parsing (Bod, 2003)",P11-1086,Implication_Citation,E03-1005,'105',"<S sid=""105"" ssid=""8"">The derivation with the smallest sum, or highest rank, is taken as the final best derivation producing the best parse tree in Simplicity-DOP.3 Although Bod (2000b) reports that Simplicity DOP is outperformed by Likelihood-DOP, its results are still rather impressive for such a simple model.</S>","<S sid=""105"" ssid=""8"">The derivation with the smallest sum, or highest rank, is taken as the final best derivation producing the best parse tree in Simplicity-DOP.3 Although Bod (2000b) reports that Simplicity DOP is outperformed by Likelihood-DOP, its results are still rather impressive for such a simple model.</S>",E03-1005.csv
6,"Bod, 2003",0,0,"Our best performing model is more accurate than all these previous models except (Bod, 2003)",P04-1013,Method_Citation,E03-1005,'42',"<S sid=""42"" ssid=""39"">We show that these PCFG-reductions result in a 60 times speedup in processing time w.r.t.</S>","<S sid=""42"" ssid=""39"">We show that these PCFG-reductions result in a 60 times speedup in processing time w.r.t.</S>",E03-1005.csv
7,"Bod, 2003",0,0,"We find that the discriminative probability model is much worse than the generative one, but that training to optimize the discriminative criteria results in improved performance. Performance of the latter model on the standard test set achieves 90.1% F-measure on constituents, which is the second best current ac curacy level, and only 0.6% below the current best (Bod, 2003) .This paper has also proposed a neural network training method which optimizes a discriminative criteria even when the parameters being estimated are those of a generative probability model",P04-1013,Results_Citation,E03-1005,'50',"<S sid=""50"" ssid=""2"">The probability of a parse tree is computed from the occurrencefrequencies of the subtrees in the treebank.</S>","<S sid=""50"" ssid=""2"">The probability of a parse tree is computed from the occurrencefrequencies of the subtrees in the treebank.</S>",E03-1005.csv
10,"Bod, 2003",0,0,"Similarly, (Bod, 2003) changes the way frequenciesfi are counted, with a similar effect",E06-2025,Hypothesis_Citation,E03-1005,'143',"<S sid=""143"" ssid=""8"">While SL-DOP and LS-DOP have been compared before in Bod (2002), especially in the context of musical parsing, this paper presents the The DOP approach is based on two distinctive features: (1) the use of corpus fragments rather than grammar rules, and (2) the use of arbitrarily large fragments rather than restricted ones.</S>","<S sid=""143"" ssid=""8"">While SL-DOP and LS-DOP have been compared before in Bod (2002), especially in the context of musical parsing, this paper presents the The DOP approach is based on two distinctive features: (1) the use of corpus fragments rather than grammar rules, and (2) the use of arbitrarily large fragments rather than restricted ones.</S>",E03-1005.csv
12,"Bod, 2003",0,0,"(henceforth, STSGs), which can represent single words, contiguous and noncontiguous MWEs, context-free rules or complete parse trees in a unified representation. My approach is closely related to work in statistical parsing known as Data-Oriented Parsing (DOP), an empirically highly successful approach with labeled recall and precision scores on the Penn Tree Bank that are among the best currently obtained (Bod, 2003)",W06-2905,Method_Citation,E03-1005,'114',"<S sid=""114"" ssid=""17"">Note that Goodman's PCFG-reduction method summarized in Section 2 applies not only to Likelihood-DOP but also to Simplicity-DOP.</S>","<S sid=""114"" ssid=""17"">Note that Goodman's PCFG-reduction method summarized in Section 2 applies not only to Likelihood-DOP but also to Simplicity-DOP.</S>",E03-1005.csv
13,"Bod, 2003",0,0,"Shown are results were only elementary trees with scores higher than 0.3 and 0.1 respectively are used. However, more interesting is a qualitative analysis of the STSG induced, which shows that ,un like DOP1, push-n-pull arrives at a grammar that gives high weights (and scores) to those elementary3We approximated the most probable parse as follows (fol lowing (Bod, 2003))",W06-2905,Hypothesis_Citation,E03-1005,'143',"<S sid=""143"" ssid=""8"">While SL-DOP and LS-DOP have been compared before in Bod (2002), especially in the context of musical parsing, this paper presents the The DOP approach is based on two distinctive features: (1) the use of corpus fragments rather than grammar rules, and (2) the use of arbitrarily large fragments rather than restricted ones.</S>","<S sid=""143"" ssid=""8"">While SL-DOP and LS-DOP have been compared before in Bod (2002), especially in the context of musical parsing, this paper presents the The DOP approach is based on two distinctive features: (1) the use of corpus fragments rather than grammar rules, and (2) the use of arbitrarily large fragments rather than restricted ones.</S>",E03-1005.csv
14,"Bod, 2003",0,0,"This result is only slightly higher than the highest reported result for this test-set, Bod? s (.907) (Bod,2003)",P05-1022,Results_Citation,E03-1005,'50',"<S sid=""50"" ssid=""2"">The probability of a parse tree is computed from the occurrencefrequencies of the subtrees in the treebank.</S>","<S sid=""50"" ssid=""2"">The probability of a parse tree is computed from the occurrencefrequencies of the subtrees in the treebank.</S>",E03-1005.csv
