Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text,Reference Text Clean,fileName
2,"Charniak, 2000",0,0,"As a benchmark VPC extraction system, we use the Charniak parser (Charniak, 2000)",N10-1002,Method_Citation,A00-2018,'113',"<S sid=""113"" ssid=""4"">We take as our starting point the parser labled Char97 in Figure 1 [5], as that is the program from which our current parser derives.</S>","<S sid=""113"" ssid=""4"">We take as our starting point the parser labled Char97 in Figure 1 [5], as that is the program from which our current parser derives.</S>",A00-2018.csv
3,"Charniak, 2000",0,0,"Each of these scores can be calculated from a provided syntactic parse tree, and to generate these we made use of the Charniakparser (Charniak, 2000), also trained on the Switch board tree bank",W11-0610,Method_Citation,A00-2018,'113',"<S sid=""113"" ssid=""4"">We take as our starting point the parser labled Char97 in Figure 1 [5], as that is the program from which our current parser derives.</S>","<S sid=""113"" ssid=""4"">We take as our starting point the parser labled Char97 in Figure 1 [5], as that is the program from which our current parser derives.</S>",A00-2018.csv
4,"Charniak, 2000",0,0,"We then use Charniak? s parser (Charniak, 2000) to generate the most likely parse tree for each English target sentence in the training corpus",W06-3119,Implication_Citation,A00-2018,'170',"<S sid=""170"" ssid=""61"">That is, the PCFG grammar rules are read directly off the training corpus.</S>","<S sid=""170"" ssid=""61"">That is, the PCFG grammar rules are read directly off the training corpus.</S>",A00-2018.csv
5,"Charniak, 2000",0,0,"We were interested in the occurrence of features such as type and number of premodifiers, presence and type of post modifiers, and form of name reference for people. We constructed a large, automatically annotated corpus by merging the output of Charniak? s statistical parser (Charniak, 2000) with that of the IBM named entity recognition system Nominator (Wacholder et al,1997)",N03-2024,Method_Citation,A00-2018,'19',"<S sid=""19"" ssid=""8"">The method we use follows that of [10].</S>","<S sid=""19"" ssid=""8"">The method we use follows that of [10].</S>",A00-2018.csv
6,"Charniak, 2000",0,0,"After getting a set of basic clusters, we pass them to an existing statistical parser (Charniak, 2000) and rule-based tree normalizer to obtain a GLARFstructure for each sentence in every article",N06-1039,Implication_Citation,A00-2018,'137',"<S sid=""137"" ssid=""28"">However, Collins in [10] does not stress the decision to guess the head's pre-terminal first, and it might be lost on the casual reader.</S>","<S sid=""137"" ssid=""28"">However, Collins in [10] does not stress the decision to guess the head's pre-terminal first, and it might be lost on the casual reader.</S>",A00-2018.csv
7,2000,0,0,"The levels of accuracy and robustness recently achieved by statistical parsers (e.g. Collins (1999), Charniak (2000)) have led to their use in a number of NLP applications, such as question-answering (Pasca and Harabagiu, 2001), machine translation (Charniak et al, 2003), sentence simplification (Carroll et al, 1999), and a linguist? s search engine (Resnik and Elkiss, 2003)",C04-1180,Method_Citation,A00-2018,'19',"<S sid=""19"" ssid=""8"">The method we use follows that of [10].</S>","<S sid=""19"" ssid=""8"">The method we use follows that of [10].</S>",A00-2018.csv
8,"Charniak, 2000",0,0,"In CoNLL-2005, full parsing trees are provided by two full parsers: the Collins parser (Collins, 1999) and the Charniak parser (Charniak, 2000)",W05-0638,Implication_Citation,A00-2018,'116',"<S sid=""116"" ssid=""7"">This is as opposed to the &amp;quot;Markovgrammar&amp;quot; approach used in the current parser.</S>","<S sid=""116"" ssid=""7"">This is as opposed to the &amp;quot;Markovgrammar&amp;quot; approach used in the current parser.</S>",A00-2018.csv
9,"Charniak, 2000",0,0,"We also use a standard statistical parser (Charniak, 2000) to provide syntactic analysis",P05-1065,Results_Citation,A00-2018,'40',"<S sid=""40"" ssid=""9"">In the parser we further assume that features are chosen from certain feature schemata and that every feature is a boolean conjunction of sub-features.</S>","<S sid=""40"" ssid=""9"">In the parser we further assume that features are chosen from certain feature schemata and that every feature is a boolean conjunction of sub-features.</S>",A00-2018.csv
10,"Charniak, 2000",0,0,"For each article, we calculated the per cent age of a) all word instances (tokens) and b) all unique words (types) not on these lists, resulting in three token OOV rate features and three type OOV rate features per article. The parse features are generated using the Charniak parser (Charniak, 2000) trained on the standard Wall Street Journal Treebank corpus",P05-1065,Implication_Citation,A00-2018,'126',"<S sid=""126"" ssid=""17"">This is indicated in Figure 2, where the model labeled &amp;quot;Best&amp;quot; has precision of 89.8% and recall of 89.6% for an average of 89.7%, 0.4% lower than the results on the official test corpus.</S>","<S sid=""126"" ssid=""17"">This is indicated in Figure 2, where the model labeled &amp;quot;Best&amp;quot; has precision of 89.8% and recall of 89.6% for an average of 89.7%, 0.4% lower than the results on the official test corpus.</S>",A00-2018.csv
11,2000,0,0,"The evaluation of the transformed output of the parsers of Charniak (2000) and Collins (1999) gives 90 %unlabelled and 84 %labelled accuracy with respect to dependencies, when measured against a dependency corpus derived from the Penn Treebank.The paper is organized as follows",P04-1040,Method_Citation,A00-2018,'120',"<S sid=""120"" ssid=""11"">Second, Char97 uses unsupervised learning in that the original system was run on about thirty million words of unparsed text, the output was taken as &amp;quot;correct&amp;quot;, and statistics were collected on the resulting parses.</S>","<S sid=""120"" ssid=""11"">Second, Char97 uses unsupervised learning in that the original system was run on about thirty million words of unparsed text, the output was taken as &amp;quot;correct&amp;quot;, and statistics were collected on the resulting parses.</S>",A00-2018.csv
