Citance Number: 1 | Reference Article:  J06-1003.txt | Citing Article:  W11-0149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Its applications include word sense disambiguation, text summarization and information retrieval (Budanitsky and Hirst, 2006).</S> | Reference Offset:  ['7','14'] | Reference Text:  <S sid = 7 ssid = >Measures of relatedness or distance are used in such applica- tions as word sense disambiguation, determining the structure of texts, text sum- marization and annotation, information extraction and retrieval, automatic indexing, lexical selection, and the automatic correction of word errors in text.</S><S sid = 14 ssid = >Our purpose in this paper is to compare the performance of a number of measures of semantic relatedness that have been proposed for use in applications in natural language processing and information retrieval.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J06-1003.txt | Citing Article:  W11-0149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, those methods that are based on hierarchical, taxonomically structured resources are generally better suited for measuring semantic similarity than relatedness (Budanitsky and Hirst, 2006).</S> | Reference Offset:  ['5','28'] | Reference Text:  <S sid = 5 ssid = >In addition, we explain why distributional similarity is not an adequate proxy for lexical semantic relatedness.</S><S sid = 28 ssid = >Unfortunately, because of the sheer number of methods measuring similarity, as well as those measuring distance as the ?opposite?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J06-1003.txt | Citing Article:  W11-0149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, WordNet based measures are well known to be better suited to measure similarity than relatedness due to its hierarchical, taxonomic structure (Budanitsky and Hirst, 2006).</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Evaluating WordNet-based Measures of Lexical Semantic Relatedness Alexander Budanitsky?</S><S sid = 13 ssid = >And what is it that makes some measures better than others?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J06-1003.txt | Citing Article:  N09-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The semantic distance can be got by the usage of lexicon, such as WordNet (Budanitsky and Hirst, 2006).</S> | Reference Offset:  ['0','100'] | Reference Text:  <S sid = 0 ssid = >Evaluating WordNet-based Measures of Lexical Semantic Relatedness Alexander Budanitsky?</S><S sid = 100 ssid = >17 Computational Linguistics Volume 32, Number 1 Hirst and St-Onge (1998; St-Onge 1995) adapted Morris and Hirst?s (1991) seman- tic distance algorithm from Roget?s Thesaurus to WordNet.3 They distinguished two strengths of semantic relations in WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


