Citance Number: 1 | Reference Article:  D09-1005.txt | Citing Article:  N10-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More generally, this algorithm demonstrates how vector-backed inside passes can compute quantities beyond expectations of local features (Li and Eisner, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Under the first-order expectation semiring ER,R-, the inside algorithm of Figure 2 will return (Z, r) where r is a vector of n feature expectations.</S><S sid = NA ssid = NA>We now show how to compute a few other quantities by choosing re appropriately.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D09-1005.txt | Citing Article:  N12-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Instead of learning the probabilities on the PCFG, we directly compute the weights on the hyper arcs using a dynamic program similar to the inside-outside algorithm (Li and Eisner, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Second, we can directly apply the inside-outside algorithm there, as we now see.</S><S sid = NA ssid = NA>First, at lines 2–3, the inside and outside algorithms are run using only the ke weights, obtaining only k (without x) but also obtaining all inside and outside weights ,Q, α ∈ K as a side effect.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D09-1005.txt | Citing Article:  N12-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to learn the weights on the hyper arcs we perform the following procedure iteratively in an Em fashion (Li and Eisner, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>During test time, a similar procedure is followed.</S><S sid = NA ssid = NA>We are now interested in computing the following quantities on the hypergraph HG: Note that r/Z, s/Z, and t/Z are expectations under p of r(d), s(d), and r(d)s(d), respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D09-1005.txt | Citing Article:  P12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We converted the grammar into a hypergraph, and learned its probability distributions using a dynamic program similar to the inside-outside algorithm (Liand Eisner, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Second, we can directly apply the inside-outside algorithm there, as we now see.</S><S sid = NA ssid = NA>So what makes the inside-outside algorithm more efficient?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D09-1005.txt | Citing Article:  P10-4002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Values that can be computed using the semirings include the number of derivations, the expected translation length, the entropy of the translation posterior distribution, and the expected values of feature functions (Li and Eisner, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Then r/Z is the expected hypothesis length.</S><S sid = NA ssid = NA>In Section 3, we show how to compute the expected hypothesis length or expected feature counts, using the algorithm of Figure 2 with a first-order expectation semiring ER,R.</S> | Discourse Facet:  NA | Annotator: Automatic


