Citance Number: 1 | Reference Article:  P01-1008.txt | Citing Article:  W02-1411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some works, such as Barzilay and McKeown (2001), have acquired paraphrasing knowledge automatically.</S> | Reference Offset:  ['57','152'] | Reference Text:  <S sid = 57 ssid = >The same question arises with automatically constructed thesauri (Pereira et al., 1993; Lin, 1998).</S><S sid = 152 ssid = >We also observed that for some rules a shorter context works better.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P01-1008.txt | Citing Article:  E12-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay and McKeown (2001) applied the distributionality hypothesis on such parallel sentences.</S> | Reference Offset:  ['25','36'] | Reference Text:  <S sid = 25 ssid = >However, our parallel corpus is far from the clean parallel corpora used in MT.</S><S sid = 36 ssid = >Extracted paraphrases are then applied to the corpus, and used to learn new context rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P01-1008.txt | Citing Article:  E12-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['68','220'] | Reference Text:  <S sid = 68 ssid = >Some of the translations were created during different time periods and in different countries.</S><S sid = 220 ssid = >We thank Noemie Elhadad, Mike Collins, Michael Elhadad and Maria Lapata for useful discussions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P01-1008.txt | Citing Article:  D08-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay and McKeown (2001) incorporated part-of-speech information and other morphosyntactic clues into their co-training algorithm.</S> | Reference Offset:  ['42','134'] | Reference Text:  <S sid = 42 ssid = >This process relies on morphological information and a part-of-speech tagging.</S><S sid = 134 ssid = >Our co-training algorithm has three stages: initialization, training of the contextual classifier and training of the paraphrasing classifiers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P01-1008.txt | Citing Article:  N06-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inspired by the use of parallel translations to mine paraphrasing lexicons (Barzilay and McKeown, 2001) and the use of MT engines forword sense disambiguation (Diab, 2000), we leverage existing machine translation systems to generate semantically equivalent, albeit lexically and syntactically distinct, questions.</S> | Reference Offset:  ['23','190'] | Reference Text:  <S sid = 23 ssid = >Our method for paraphrase extraction builds upon methodology developed in Machine Translation (MT).</S><S sid = 190 ssid = >The first of these was a machine translation technique for deriving bilingual lexicons (Melamed, 2001) including detection of non-compositional compounds 4.</S> | Discourse Facet:  NA | Annotator: Automatic


