Citance Number: 1 | Reference Article:  J95-2003.txt | Citing Article:  P96-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The centering model (Grosz et al, 1995) focuses on the resolution of inter-sentential anaphora.</S> | Reference Offset:  ['10','221'] | Reference Text:  <S sid = 10 ssid = >Centering was proposed as a model that accounted for this phenomenon.</S><S sid = 221 ssid = >The next example illustrates that this effect is 16 These rules and constraints have also been used by others as the basis for pronoun resolution algorithms based on centering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J95-2003.txt | Citing Article:  P96-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Possible strategies for treating sentence-level anaphora within the centering framework are processing sentences linearly one clause at a time (as suggested by Grosz et al (1995)).</S> | Reference Offset:  ['276','296'] | Reference Text:  <S sid = 276 ssid = >However, the lack of complete information at the time of processing an utterance means that a unique interpretation cannot be definitely determined.</S><S sid = 296 ssid = >Cb(25b) is then the value-free interpretation, and Cb(26b) is the value-loaded one (at the time of the writing of Grosz, Joshi, and Weinstein (1986), George Bush, but now [1995] Al Gore).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J95-2003.txt | Citing Article:  P96-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To summarize the results of our empirical evaluation, we claim that our proposal based on functional criteria leads to substantively better results for languages with free word order than the linear approach suggested by Grosz et al (1995) and the two approaches which prefer inter-sentential or intra-sentential ntecedents.</S> | Reference Offset:  ['215','304'] | Reference Text:  <S sid = 215 ssid = >Although several cross-linguistic studies have investigated Rule 2 (see Section 9), there are as yet no psycholinguistic results empirically validating it.</S><S sid = 304 ssid = >It is possible for an utterance to prefer either a value-free (VF) or value-loaded (VL) interpretation but not force it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J95-2003.txt | Citing Article:  P96-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Crucial for the evaluation of the centering model (Grosz et al, 1995) and its applicability to naturally occurring discourse is the lack of a specification concerning how to handle complex sentences and internal sentential anaphora.</S> | Reference Offset:  ['210','322'] | Reference Text:  <S sid = 210 ssid = >Frequent shifting leads to a lack of local coherence, as was illustrated by the contrast between Discourse (1) and Discourse (2) in Section 2.</S><S sid = 322 ssid = >These examples introduce a number of research issues concerning the representation and management of the Cb and Cf discourse entities.</S> | Discourse Facet:  NA | Annotator: Automatic


