Citance Number: 1 | Reference Article:  P98-1013.txt | Citing Article:  P00-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our statistical algorithms are trained on a hand-labeled dataset: the FrameNet database (Baker et al, 1998).</S> | Reference Offset:  ['16','34'] | Reference Text:  <S sid = 16 ssid = >The database will also contain estimates of the relative frequency of senses and complementation patterns calculated by matching the senses and patterns in the hand-tagged examples against the entire BNC corpus.</S><S sid = 34 ssid = >For practical lexicography, the contribution of the FrameNet database will be its presentation of the full range of use possibilities for individual words, documented with corpus data, the model examples for each use, and the statistical information on relative frequency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-1013.txt | Citing Article:  D08-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, the integration of NLP systems with manually-built resources at the predicate argument-level, such as FrameNet (Baker et al., 1998) and PropBank (Palmer et al, 2005) has received growing interest.</S> | Reference Offset:  ['17','32'] | Reference Text:  <S sid = 17 ssid = >The FrameNet work is in some ways similar to efforts to describe the argument structures of lexical items in terms of case-roles or thetaroles,5 but in FrameNet, the role names (called frame elements or FEs) are local to particular conceptual structures (frames); some of these are quite general, while others are specific to a small family of lexical items.</S><S sid = 32 ssid = >8 Used in NLP, the FrameNet database should make it possible for a system which finds a valence-bearing lexical item in a text to know (for each of its senses) where its individual arguments are likely to be found.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-1013.txt | Citing Article:  D08-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Building on this frame-semantic model, the Berkeley FrameNet project (Baker et al, 1998) has been developing a frame-semantic lexicon for the core vocabulary of English since 1997.</S> | Reference Offset:  ['0','5'] | Reference Text:  <S sid = 0 ssid = >The Berkeley FrameNet Project</S><S sid = 5 ssid = >The Berkeley FrameNet project' is producing frame-semantic descriptions of several thousand English lexical items and backing up these descriptions with semantically annotated attestations from contemporary English corpora2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-1013.txt | Citing Article:  W10-0915.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Several lexical resources have been built manually, most notably WordNet (Fellbaum, 1998), FrameNet (Baker et al, 1998) and VerbNet (Baker et 122al., 1998).</S> | Reference Offset:  ['10','11'] | Reference Text:  <S sid = 10 ssid = >The results of the project are (a) a lexical resource, called the FrameNet database3, and (b) associated software tools.</S><S sid = 11 ssid = >The database has three major components (described in more detail below: PLE SENTENCES which illustrate each of the potential realization patterns identified in the formula;4 and (d) links to the FRAME DATABASE and to other machine-readable resources such as WordNet and COMLEX. marked up to exemplify the semantic and morphosyntactic properties of the lexical items.</S> | Discourse Facet:  NA | Annotator: Automatic


