Citance Number: 1 | Reference Article:  P08-1088.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi et al (2008) mention one disadvantage of using edit distance, that is, precision quickly degrades with higher recall.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Running EDITDIST (see section 4.3) on ENES-W yielded 61.1 p0.33, but precision quickly degrades for higher recall levels (see EDITDIST in table 1).</S><S sid = NA ssid = NA>Precision and recall are then measured over these bilingual lexicons.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1088.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi et al (2008), amongst a few others, propose using canonical correlation analysis to reduce the dimension.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose the following generative model over matchings m and word types (s, t), which we call matching canonical correlation analysis (MCCA).</S><S sid = NA ssid = NA>Translations are induced using a generative model based on canonical correlation analysis, which explains the monolingual lexicons in terms of latent matchings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1088.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi et al (2008) only use a small-sized bilingual lexicon containing 100 word pairs as seed lexicon.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All of our experiments so far have exploited a small seed lexicon which has been derived from the evaluation lexicon (see section 4.3).</S><S sid = NA ssid = NA>Also, as in Koehn and Knight (2002), we make use of a seed lexicon, which consists of a small, and perhaps incorrect, set of initial translation pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1088.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Examples can be found in Fung and Cheung (2004), followed by Haghighi et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Current statistical machine translation systems use parallel corpora to induce translation correspondences, whether those correspondences be at the level of phrases (Koehn, 2004), treelets (Galley et al., 2006), or simply single words (Brown et al., 1994).</S><S sid = NA ssid = NA>We ran the intersected HMM wordalignment model (Liang et al., 2008) and added (s, t) to the lexicon if s was aligned to t at least three times and more than any other word.</S> | Discourse Facet:  NA | Annotator: Automatic


