Citance Number: 1 | Reference Article:  P07-1106.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the three corpora, it also outperformed the word-based perceptron model of Zhang and Clark (2007).</S> | Reference Offset:  ['0','159'] | Reference Text:  <S sid = 0 ssid = >Chinese Segmentation with a Word-Based Perceptron Algorithm</S><S sid = 159 ssid = >In comparison, our system is based on a single perceptron model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1106.txt | Citing Article:  P14-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','172'] | Reference Text:  <S sid = 53 ssid = >If the output is incorrect, the parameter vector is updated by adding the global feature vector of the training example and subtracting the global feature vector of the decoder output.</S><S sid = 172 ssid = >We thank the anonymous reviewers for their insightful comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1106.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, our model is based on our previous work, in line with Zhang and Clark (2007), which does not treat word segmentation as character sequence labeling.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Chinese Segmentation with a Word-Based Perceptron Algorithm</S><S sid = 1 ssid = >Standard approaches to Chinese word segmentation treat the problem as a tagging task, assigning labels to the characters in the sequence indicating whether the character marks a word boundary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1106.txt | Citing Article:  C10-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','172'] | Reference Text:  <S sid = 53 ssid = >If the output is incorrect, the parameter vector is updated by adding the global feature vector of the training example and subtracting the global feature vector of the decoder output.</S><S sid = 172 ssid = >We thank the anonymous reviewers for their insightful comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-1106.txt | Citing Article:  C10-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Zhang and Clark, 2007) uses perceptron (Collins, 2002) to generate word candidates with both word and character features.</S> | Reference Offset:  ['75','94'] | Reference Text:  <S sid = 75 ssid = >At each stage, the next incoming character is combined with an existing candidate in two different ways to generate new candidates: it is either appended to the last word in the candidate, or taken as the start of a new word.</S><S sid = 94 ssid = >Liang (2005) uses the discriminative perceptron algorithm (Collins, 2002) to score whole character tag sequences, finding the best candidate by the global score.</S> | Discourse Facet:  NA | Annotator: Automatic


