Citance Number: 1 | Reference Article:  P06-1124.txt | Citing Article:  N12-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Smoothing techniques, such as Kneser-Ney and Witten-Bell back off schemes (see (Chen and Goodman, 1996) for an empirical overview, and (Teh, 2006) for a Bayesian interpretation), perform back-off to lower order distributions, thus providing an estimate for the probability of these unseen events.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our interpretation is more useful than past interpretations involving marginal constraints (Kneser and Ney, 1995; Chen and Goodman, 1998) or maximum-entropy models (Goodman, 2004) as it can recover the exact formulation of interpolated Kneser-Ney, and actually produces superior results.</S><S sid = NA ssid = NA>We show experimentally that our hierarchical Pitman-Yor language model does indeed produce results superior to interpolated Kneser-Ney and comparable to modified Kneser-Ney, two of the currently best performing smoothing methods (Chen and Goodman, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1124.txt | Citing Article:  N12-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar considerations apply to other sophisticated language modeling techniques like Pitman-Yor processes (Teh, 2006), recurrent neural networks (Mikolov et al, 2010) and FLMs in their general, more powerful form.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The hierarchical Pitman-Yor process is a natural generalization of the recently proposed hierarchical Dirichlet process (Teh et al., 2006).</S><S sid = NA ssid = NA>A Hierarchical Bayesian Language Model Based On Pitman-Yor Processes</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1124.txt | Citing Article:  P11-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both panels are for the full training set and n = 3. helpful comments.</S><S sid = NA ssid = NA>For d = 0, we have a Dirichlet distribution and the number of unique words grows more slowly at O(0 log T).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1124.txt | Citing Article:  P11-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The hyper parameters of our model are updated with the auxiliary variable technique (Teh, 2006a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parameters Θ are sampled using an auxiliary variable sampler as detailed in (Teh, 2006).</S><S sid = NA ssid = NA>Gibbs sampling keeps track of the current state of each variable of interest in the model, and iteratively resamples the state of each variable given the current states of all other variables.</S> | Discourse Facet:  NA | Annotator: Automatic


