Citance Number: 1 | Reference Article:  J00-3003.txt | Citing Article:  W13-4047.txt | Citation Marker Offset:  2986-2999 | Citation Marker:  Stolcke et al ... 2000 | Citation Offset:  2985-3264 | Citation Text:  (Stolcke et al., 2000) use HMMs for dialogue modelling, where sequences of observations correspond to sequences of dialogue act types. They also explore the performance with decision trees and neural networks and report their highest accuracy at 65% on the Switchboard corpus | Reference Offset:  ['573','358','392'] | Reference Text:  The importance of the Markov assumption for the discourse grammar is that we can now view the whole system of discourse grammar and local utterance-based likelihoods as a kth-order hidden Markov model (HMM) (Rabiner and Juang 1986). The H M M states correspond to DAs, observations correspond to utterances, transition probabilities are given by the discourse grammar (see Section 4), and observation probabilities are given by the local likelihoods P(Eil Ui) ... We conducted preliminary experiments to assess how neural  ... networks compare to decision trees for the type of data studied here ... Combined utterance classification accuracies ... Bigram ... 65.0 | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 2 | Reference Article:  J00-3003.txt | Citing Article:  W12-1634.txt | Citation Marker Offset:  2278-2299 | Citation Marker:  Stolcke et al ... 2000 | Citation Offset:  2171-2255 | Citation Text:  To date, the majority of work on dialogue act modeling has addressed spoken dialogue ... Stolcke et al., 2000; | Reference Offset:  ['68','71'] | Reference Text:  For the ... speech recognition task, our framework provides a mathematically principled way to condition the speech recognizer on conversation context through dialogue structure, as well as on nonlexical information correlated with DA identity ... Second, we present results obtained with this approach on a large, widely available corpus of spontaneous conversational speech | Discourse Facet:  Aim_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 3 | Reference Article:  J00-3003.txt | Citing Article:  W12-1634.txt | Citation Marker Offset:  2294-2298 | Citation Marker:  Stolcke et al ... 2000 | Citation Offset:  2278-2291 | Citation Text:  Previous research has leveraged prosodic cues ... Stolcke et al., 2000) ... for automatic dialogue act classification, but other types of nonverbal cues remain unexplored | Reference Offset:  ['188','192'] | Reference Text:  The computation of likelihoods P(EIU ) depends on the types of evidence used ... Prosodic features- Evidence is given by the acoustic features F capturing various aspects of pitch, duration, energy, etc., of the speech signal; the associated ... likelihoods are P(F IU) | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 4 | Reference Article:  J00-3003.txt | Citing Article:  W10-1012.txt | Citation Marker Offset:  27743-27757 | Citation Marker:  Stolcke et al. ... 2000 | Citation Offset:  27622-27764 | Citation Text:  There have also been Dialogue Acts modeling approaches for automatic tagging and recognition of conversational speech (Stolcke et al., 2000) | Reference Offset:  ['64','68'] | Reference Text:  we aim to present a comprehensive framework for modeling and automatic classification of DAs ... For the ... speech recognition task, our framework provides a mathematically principled way to condition the speech recognizer on conversation context through dialogue structure, as well as on nonlexical information correlated with DA identity | Discourse Facet:  Aim_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


