Citance Number: 1 | Reference Article:  N10-1020.txt | Citing Article:  D10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent studies have also developed approaches to summarize conversations (Murray and Carenini, 2008) and to model conversation structures (dialogue acts) from online Twitter conversations (Ritter et al, 2010).</S> | Reference Offset:  ['0','9'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Modeling of Twitter Conversations</S><S sid = 9 ssid = >These acts are useful in many applications, including conversational agents (Wilks, 2006), dialogue systems (Allen et al., 2007), dialogue summarization (Murray et al., 2006), and flirtation detection (Ranganath et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N10-1020.txt | Citing Article:  P14-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ritter et al (2010) extends LMHMM to allow words to be emitted from two additional sources: the topic of current dialogue, or a background LM shared across all dialogues.</S> | Reference Offset:  ['9','105'] | Reference Text:  <S sid = 9 ssid = >These acts are useful in many applications, including conversational agents (Wilks, 2006), dialogue systems (Allen et al., 2007), dialogue summarization (Murray et al., 2006), and flirtation detection (Ranganath et al., 2009).</S><S sid = 105 ssid = >Rather than attempt to set them using an expensive grid search, we treat the concentration parameters as additional hidden variables and sample each in turn, conditioned on the current assignment to all other variables.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N10-1020.txt | Citing Article:  P14-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ritter et al (2010) finds these alternate sources are important in non-task-oriented domains, where events are diffuse and fleeting.</S> | Reference Offset:  ['7','9'] | Reference Text:  <S sid = 7 ssid = >Automatic detection of dialogue structure is an important first step toward deep understanding of human conversations.</S><S sid = 9 ssid = >These acts are useful in many applications, including conversational agents (Wilks, 2006), dialogue systems (Allen et al., 2007), dialogue summarization (Murray et al., 2006), and flirtation detection (Ranganath et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N10-1020.txt | Citing Article:  P14-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ritter et al (2010) proposes an evaluation based on rank correlation coefficient, which measures the degree of similarity between any two orderings over sequential data.</S> | Reference Offset:  ['157','163'] | Reference Text:  <S sid = 157 ssid = >Therefore, we also propose a novel quantitative evaluation that measures the intrinsic quality of a conversation model by its ability to predict the ordering of posts in a conversation.</S><S sid = 163 ssid = >The Kendall r rank correlation coefficient measures the similarity between two permutations based on their agreement in pairwise orderings: where n+ is the number of pairs that share the same order in both permutations, and n_ is the number that do not.</S> | Discourse Facet:  NA | Annotator: Automatic


