Citance Number: 1 | Reference Article:  P09-1094.txt | Citing Article:  P13-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Researchers have made great efforts to improve paraphrasing from different perspectives, such as paraphrase extraction (Zhao et al, 2007), paraphrase generation (Quirk et al, 2004), model optimization (Zhao et al., 2009) and etc.</S> | Reference Offset:  ['34','86'] | Reference Text:  <S sid = 34 ssid = >Researchers employ the existing SMT models for PG (Quirk et al., 2004).</S><S sid = 86 ssid = >One can refer to (Zhao et al., 2008b) for the details.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1094.txt | Citing Article:  P13-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhao et al (2009) proposes an unified paraphrasing framework that can be adapted to different applications using different usability models.</S> | Reference Offset:  ['48','64'] | Reference Text:  <S sid = 48 ssid = >The PTs used in this work are constructed using different corpora and different score functions (Section 3.5).</S><S sid = 64 ssid = >In practice, the units of a sentence may be paraphrased using different PTs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1094.txt | Citing Article:  D10-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Notable exceptions are Cohn and Lapata (2008) and Zhao et al (2009) who present a model that can both compress and paraphrase individual sentences without however generating document-level summaries.</S> | Reference Offset:  ['86','169'] | Reference Text:  <S sid = 86 ssid = >One can refer to (Zhao et al., 2008b) for the details.</S><S sid = 169 ssid = >Different from prior research, Cohn and Lapata (2008) achieved sentence compression using a combination of several operations including word deletion, substitution, insertion, and reordering based on a statistical model, which is similar to our paraphrase generation process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1094.txt | Citing Article:  W11-2128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhao et al (2008) apply SMT-style decoding for paraphrasing, using several log linear weighted resources while Zhao et al (2009) filter out paraphrase candidates and weight paraphrase features according to the desired NLP task.</S> | Reference Offset:  ['38','86'] | Reference Text:  <S sid = 38 ssid = >To address this problem, we have tried combining multiple resources to improve the SMT-based PG model (Zhao et al., 2008a).</S><S sid = 86 ssid = >One can refer to (Zhao et al., 2008b) for the details.</S> | Discourse Facet:  NA | Annotator: Automatic


