Citance Number: 1 | Reference Article:  J91-1002.txt | Citing Article:  E93-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Paradigmatic similarity is based on association data extracted from thesauri [Morris and Hirst, 1991], psychological experiments [Osgood, 1952], and so on.</S> | Reference Offset:  ['174','237'] | Reference Text:  <S sid = 174 ssid = >Of the 16 word association pairs given in Hirst (1987), 14 were found in Roget's Thesaurus (1977).</S><S sid = 237 ssid = >3.2.3 Notation and Data Structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J91-1002.txt | Citing Article:  P14-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Xiong et al, 2013b) incorporated lexical-chain-based models (Morris and Hirst, 1991) into machine translation.</S> | Reference Offset:  ['196','350'] | Reference Text:  <S sid = 196 ssid = >Automation was not possible, for lack of a machine-readable copy of the thesaurus.</S><S sid = 350 ssid = >A machine-readable thesaurus with automated index searching and lookup is required.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J91-1002.txt | Citing Article:  I08-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An algorithm for computing lexical chains was first given by (Morris and Hirst, 1991) using the Roget's Thesaurus (Kirkpatrick, 1998).</S> | Reference Offset:  ['171','240'] | Reference Text:  <S sid = 171 ssid = >Of the 16 nonsystematic semantic lexical chains given as examples in Halliday and Hasan (1976), 14 were found in Roget's Thesaurus (1977) using the relations given in Section 3.2.2.</S><S sid = 240 ssid = >Figure 5 shows the generalized algorithm for computing lexical chains.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J91-1002.txt | Citing Article:  P99-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Morris and Hirst developed an algorithm (Morris and Hirst, 1991) based on lexical cohesion relations (Halliday and Hasan, 1976).</S> | Reference Offset:  ['121','353'] | Reference Text:  <S sid = 121 ssid = >Pronominal reference is defined as a type of cohesion (Halliday and Hasan 1976).</S><S sid = 353 ssid = >The methods used in this work improve on those from Halliday and Hasan (1976).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J91-1002.txt | Citing Article:  W08-2232.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Usually a lexical chain is obtained in a bottom-up fashion, by taking each candidate word of a text, and finding an appropriate relation offered by a thesaurus as Rodget (Morris and Hirst, 1991) or WordNet (Barzilay and Elhadad, 1999).</S> | Reference Offset:  ['3','193'] | Reference Text:  <S sid = 3 ssid = >These lexical chains are a direct result of units of text being &quot;about the same thing,&quot; and finding text structure involves finding units of text that are about the same thing.</S><S sid = 193 ssid = >Once the candidate words are chosen, the lexical chains can be formed.</S> | Discourse Facet:  NA | Annotator: Automatic


