Citance Number: 1 | Reference Article:  P11-1098.txt | Citing Article:  W11-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent work by Chambers and Jurafsky (2011) approaches a related problem, applying agglomerative clustering over sentences to detect events, and then clustering syntactic constituents to induce the relevant fields of each event entity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, since agglomerative clustering makes hard decisions, related events to a template may have been excluded in the initial event clustering stage.</S><S sid = NA ssid = NA>We use agglomerative clustering with the above pairwise similarity metric.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P11-1098.txt | Citing Article:  E12-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most recently, (Chambers and Jurafsky, 2011) acquire event words from an external resource, group the event words to form event scenarios, and group extraction patterns for different event roles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We cluster event patterns to create templates.</S><S sid = NA ssid = NA>We learn templates by first clustering event words based on their proximity in a training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P11-1098.txt | Citing Article:  E12-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Chambers and Jurafsky, 2011) (C+J) created an event extraction system by acquiring event words from WordNet (Miller, 1990), clustering the event words into different event scenarios, and grouping extraction patterns for different event roles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We learn templates by first clustering event words based on their proximity in a training corpus.</S><S sid = NA ssid = NA>We cluster event patterns to create templates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P11-1098.txt | Citing Article:  P13-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The use of case frames is well grounded in a variety of NLP tasks relevant to summarization such as coreference resolution (Bean and Riloff, 2004), and information extraction (Chambers and Jurafsky, 2011), where they serve the central unit of semantic analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Template-Based Information Extraction without the Templates</S><S sid = NA ssid = NA>Central to the al- each event.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P11-1098.txt | Citing Article:  P12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We propose a method for inferring event templates based on word clustering according to their proximity in the corpus and syntactic function clustering.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We learn templates by first clustering event words based on their proximity in a training corpus.</S><S sid = NA ssid = NA>But instead, we propose a new method that obviates the need for even a limited human labeling of seed sets.</S> | Discourse Facet:  NA | Annotator: Automatic


