Citance Number: 1 | Reference Article:  P02-1006.txt | Citing Article:  W02-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ravichandran and Hovy (2002) present an alternative ontology for type preference and describe a method for using this alternative ontology to extract particular answers using surface text patterns.</S> | Reference Offset:  ['0','74'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 74 ssid = >Using a named entity tagger and/or an ontology would enable the system to use the knowledge that “background” is not a location.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1006.txt | Citing Article:  P13-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The benefit of utilizing template-based inference rules between predicates was demonstrated in NLP tasks such as Question Answering (QA) (Ravichandran and Hovy, 2002) and Information Extraction (IE) (Shinyama and Sekine, 2006).</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 17 ssid = >Similar techniques have been investigated extensively in the field of information extraction (Riloff, 96).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1006.txt | Citing Article:  H05-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Automatic pattern derivation is more appealing (Ravichandran and Hovy, 2002).</S> | Reference Offset:  ['24','59'] | Reference Text:  <S sid = 24 ssid = >We describe the pattern-learning algorithm with an example.</S><S sid = 59 ssid = >The pattern table for each of these question types was constructed using Algorithm 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1006.txt | Citing Article:  H05-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ravichandran and Hovy (2002) presents a method that learns patterns from online data using some seed questions and answer anchors.</S> | Reference Offset:  ['57','110'] | Reference Text:  <S sid = 57 ssid = >Using the patterns to answer a new question we employ the following algorithm:</S><S sid = 110 ssid = >Since the answer patterns used in this method are learned using only a small number of manual training terms, one can rapidly learn patterns for new languages, assuming the web search engine is appropriately switched.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1006.txt | Citing Article:  W06-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Indeed, many researchers have recently tapped the Web as a data-source for improving performance on NLP tasks (e.g., Resnik (1999), Ravichandran and Hovy (2002), Keller and Lapata (2003)).</S> | Reference Offset:  ['66','67'] | Reference Text:  <S sid = 66 ssid = >The results indicate that the system performs better on the Web data than on the TREC corpus.</S><S sid = 67 ssid = >The abundance of data on the web makes it easier for the system to locate answers with high precision scores (the system finds many examples of correct answers among the top 20 when using the Web as the input source).</S> | Discourse Facet:  NA | Annotator: Automatic


