Citance Number: 1 | Reference Article:  H93-1052.txt | Citing Article:  W97-0119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is well known that polysemous words usually have only one sense when used as part of a collocation or technical term (Yarowsky 1993).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >ONE SENSE PER COLLOCATION David Yarowsky* Department  of  Computer  and In format ion Science Univers i ty of  Pennsy lvania Philadelphia, PA 19104 yarowsky@unagi .c is .upenn.edu ABSTRACT Previous work [Gale, Church and Yarowsky, 1992] showed that with high probability a polysemous word has one sense per discourse.</S><S sid = 1 ssid = >In this paper we show that for certain definitions of collocation, a polysemous word exhibits essentially only one sense per collocation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H93-1052.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The procedure for inducing these semantic frames is as follows: 1. apply dependency parsing to a raw corpus and extract predicate-argument structures for each verb from the automatic parses, 2. merge the predicate-argument structures that have presumably the same meaning based on the assumption of one sense per collocation (Yarowsky, 1993) to get a set of initial frames, and 3. apply clustering to the initial frames based on the Chinese Restaurant Process (Aldous, 1985) to produce verb-specific semantic frames.</S> | Reference Offset:  ['79','181'] | Reference Text:  <S sid = 79 ssid = >When based on a single collocation type, such as the object of the verb or word immediately to the left, the pro- cedure is very simple.</S><S sid = 181 ssid = >In addition, we hope to incorporate class-based techniques, uch as the modeling of verb-argument selectional preferences [Resnik, 1992], as a mechanism for achieving im- proved performance on unfamiliar collocations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H93-1052.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this merge, we assume one sense per collocation (Yarowsky, 1993) for predicate argument structures.</S> | Reference Offset:  ['0','91'] | Reference Text:  <S sid = 0 ssid = >ONE SENSE PER COLLOCATION David Yarowsky* Department  of  Computer  and In format ion Science Univers i ty of  Pennsy lvania Philadelphia, PA 19104 yarowsky@unagi .c is .upenn.edu ABSTRACT Previous work [Gale, Church and Yarowsky, 1992] showed that with high probability a polysemous word has one sense per discourse.</S><S sid = 91 ssid = >Therefore this method offers advantages over Bayesian classifier techniques which assume independence of the fea- tures used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H93-1052.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >For a more unbalanced observed istribution, such as 10/0, the probability of seeing the minor sense decreases to 2%, giving a cross-validated ntropy of H(.98,.02) = .14 bits.</S><S sid = 198 ssid = >Yarowsky, David "Word-Sense Disambiguation Using Statisti- cal Models of Rogets Categories Trained on Large Corpora," in Proceedings, COLING-92, Nantes, France, 1992.</S> | Discourse Facet:  NA | Annotator: Automatic


