Citance Number: 1 | Reference Article:  J93-2006.txt | Citing Article:  A00-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We were already using a generative statistical model for part-of-speech tagging (Weischedel et al 1993).</S> | Reference Offset:  ['10','55'] | Reference Text:  <S sid = 10 ssid = >&quot;Augmenting a hidden Markov model for phrase-dependent tagging.&quot; In Speech and Language Workshop.</S><S sid = 55 ssid = >If we want to determine the most likely syntactic part of speech or tag for each word in a sentence, we can formulate a probabilistic tagging model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-2006.txt | Citing Article:  A00-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Word features are introduced primarily to help with unknown words, as in (Weischedel et al 1993).</S> | Reference Offset:  ['129','132'] | Reference Text:  <S sid = 129 ssid = >Furthermore, capitalization information, when available, can help to indicate whether a word is a proper noun.</S><S sid = 132 ssid = >To estimate p(w, I t,) for an unknown word, we first determined the features we thought would distinguish parts of speech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-2006.txt | Citing Article:  P98-2251.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Weischedel's group (Weischedel et al, 1993) examines unknown words in the context of part-of-speech tagging.</S> | Reference Offset:  ['16','311'] | Reference Text:  <S sid = 16 ssid = >Our own natural language database query systems, JANUS (Weischedel et al. 1989), ParlanceTm,1 and Delphi (Stallard 1989), have used these techniques quite successfully.</S><S sid = 311 ssid = >Traditionally such semantic knowledge is handcrafted, though some software aids exist to enable greater productivity (Ayuso, Shaked, and Weischedel 1987; Bates 1989; Grishman, Hirschman, and Nhan 1986; Weischedel et al. 1989).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-2006.txt | Citing Article:  C96-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >in (Weischedel et al, 1993) where an unknown word was guessed given the probabilities for an unknown word to be of a particular pos, its capitalisation feature and its ending.</S> | Reference Offset:  ['136','158'] | Reference Text:  <S sid = 136 ssid = >We can incorporate these features of the word into the probability that this particular word will occur given a particular tag using the following: We estimate the probability of each ending for each tag directly from supervised training data.</S><S sid = 158 ssid = >The exact probability of a particular tag given a particular word is computed directly by the product of the &quot;forward&quot; and &quot;backward&quot; probabilities to that tag, divided by the probability of the word sequence given this model.</S> | Discourse Facet:  NA | Annotator: Automatic


