Citance Number: 1 | Reference Article:  N04-1015.txt | Citing Article:  W05-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This methodology is very similar to the way [Barzilay and Lee, 2004] evaluate their probabilistic TS model in comparison to the approach of [Lapata, 2003].</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >Catching The Drift: Probabilistic Content Models With Applications To Generation And Summarization</S><S sid = 26 ssid = >In our experiments, content models outperform Lapata?s (2003) state-of-the-art ordering method by a wide margin ? forone domain and performance metric, the gap was 78 percentage points.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1015.txt | Citing Article:  W05-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus, there might exist more than one equally good solution for TS, a view shared by almost all TS researchers, but which has not been accounted for in the evaluation methodologies of [Karamanis et al, 2004] and [Barzilay and Lee, 2004].</S> | Reference Offset:  ['8','12'] | Reference Text:  <S sid = 8 ssid = >The focus of ourwork, however, is on an equally fundamental but domain dependent dimension of the structure of text: content.</S><S sid = 12 ssid = >But rather than manually determine the topics for a given domain, we take a distributional view, learning them directly from un-annotated texts via analysis of word distribution patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1015.txt | Citing Article:  P14-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The simplest formulation we consider is an HMM where each state contains a unigram language model (LM), proposed by Chotimongkol (2008) for task-oriented dialogue and originally developed for discourse analysis by Barzilay and Lee (2004).</S> | Reference Offset:  ['23','30'] | Reference Text:  <S sid = 23 ssid = >Our technique incorporates a novel adaptation of the standard HMM induction algorithm that is tailored to the task of modeling content.</S><S sid = 30 ssid = >For this task, we de velop a new content-model-based learning algorithm for sentence selection.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1015.txt | Citing Article:  D10-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this work, we also assume a content model, which we fix to be the document-level HMM as used in Barzilay and Lee (2004).</S> | Reference Offset:  ['6','30'] | Reference Text:  <S sid = 6 ssid = >Document-level analysis of text struc ture is an important instance of such work.</S><S sid = 30 ssid = >For this task, we de velop a new content-model-based learning algorithm for sentence selection.</S> | Discourse Facet:  NA | Annotator: Automatic


