Citance Number: 1 | Reference Article:  E89-1037.txt | Citing Article:  C92-2109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this section, we will outline the approach to the translation of non-local re-entrances proposed in Kaplan et al (1989).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In other cases there is a non-local dependency between the subcategorizing verb and a dislocated phrase.</S><S sid = NA ssid = NA>In the following sections we outline these basic notions and show how they can be used to deal with certain interesting translation problems in a simple and straightforward way.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E89-1037.txt | Citing Article:  C92-2109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have shown in this paper that the approach to transfer between feature structures introduced in Kaplan et al 1989 can be exploited to deal with the translation of anaphoric dependeneins.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The latter is introduced by the transfer entry for Again this f-structure satisfies the transfer description and is also assigned by the French grammar to the target sentence.</S><S sid = NA ssid = NA>In this paper we sketch an approach to machine translation that offers several advantages compared to many of the other strategies currently being pursued.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E89-1037.txt | Citing Article:  W02-1603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first one applies semantic transfer model via the methodology similar to the lexical functional grammar (Kaplan et al., 1989) and it is develop with the intention of public use.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As introduced by Kaplan and Bresnan (1982), lexical-functional grammar assigns to every sentence two levels of syntactic representation, a constituent structure (c-structure) and a functional structure (f-structure).</S><S sid = NA ssid = NA>Our approach uses the equality- and description-based mechanisms of Lexical-Functional Grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E89-1037.txt | Citing Article:  E93-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks to P.-K. Halvorsen, U. Heid, H. Kamp, M. Kay and C. Rohrer for discussion and comments.</S><S sid = NA ssid = NA>Halvorsen and Kaplan (1988), for example, discuss a level of semantic structure that encodes predicate-argument relations and quantifier scope, information that does not enter into the kinds of syntactic generalizations that the f-structure supports.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E89-1037.txt | Citing Article:  E93-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kaplan et al (1989) present a framework for translation based on the description and correspondence concepts of Lexical Functional Grammar (Kaplan and Bresnan, 1982).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As introduced by Kaplan and Bresnan (1982), lexical-functional grammar assigns to every sentence two levels of syntactic representation, a constituent structure (c-structure) and a functional structure (f-structure).</S><S sid = NA ssid = NA>Our approach uses the equality- and description-based mechanisms of Lexical-Functional Grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


