Citance Number: 1 | Reference Article:  J03-3001.txt | Citing Article:  P10-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Early web-based models used search engines to collect N-gram counts, and thus could not use capitalization, punctuation, and annotations such as part-of-speech (Kilgarriff and Grefenstette, 2003).</S> | Reference Offset:  ['77','121'] | Reference Text:  <S sid = 77 ssid = >Language identification algorithms (Beesley 1988; Grefenstette 1995), now widely used in Web search engines, were developed as NLP technology.</S><S sid = 121 ssid = >Many Web search engines allow the user to search for adjacent phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J03-3001.txt | Citing Article:  W06-1705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In corpus linguistics building such mega corpora is beyond the scope of individual researchers, and they are not easily accessible (Kennedy, 1998: 56) unless the web is used as a corpus (Kilgarriff and Grefenstette, 2003).</S> | Reference Offset:  ['140','187'] | Reference Text:  <S sid = 140 ssid = >Can they be used?</S><S sid = 187 ssid = >Where researchers use established corpora, such as Brown, the BNC, or the Penn Treebank, researchers and readers are willing to accept the corpus name as a label for the type of text occurring in it without asking critical questions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J03-3001.txt | Citing Article:  E06-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Web contains vast amounts of linguistic data for many languages (Kilgarriff and Grefenstette, 2003).</S> | Reference Offset:  ['1','105'] | Reference Text:  <S sid = 1 ssid = >The Web, teeming as it is with language data, of all manner of varieties and languages, in vast quantity and freely available, is a fabulous linguists’ playground.</S><S sid = 105 ssid = >In fact, the text contains about 1,500 words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J03-3001.txt | Citing Article:  W06-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In recent years, the Web has been increasingly used as a source of linguistic data (Kilgarriff and Grefenstette, 2003).</S> | Reference Offset:  ['9','146'] | Reference Text:  <S sid = 9 ssid = >Language scientists and technologists are increasingly turning to the Web as a source of language data, because it is so big, because it is the only available source for the type of language in which they are interested, or simply because it is free and instantly available.</S><S sid = 146 ssid = >Much work in recent years has gone into developing language models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J03-3001.txt | Citing Article:  P06-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is now easy to gather machine-readable sentences in various domains because of the ease of publication and access via the Web (Kilgarriff and Grefenstette, 2003).</S> | Reference Offset:  ['19','50'] | Reference Text:  <S sid = 19 ssid = >These may be considered under four main headings: sampling and representativeness, finite size, machine-readable form, a standard reference.</S><S sid = 50 ssid = >Mihalcea and Tchklovski complement this use of Web as corpus with Web technology to gather manual word sense annotations on the Word Expert Web site.3 Santamar´ia et al., in this issue, discuss how to link word senses to Web directory nodes, and thence to Web pages.</S> | Discourse Facet:  NA | Annotator: Automatic


