Citance Number: 1 | Reference Article: I05-5011.xml | Citing Article: C08-1107.xml | Citation Marker Offset: ['19'] | Citation Marker: Sekine, 2005 | Citation Offset: ['18','19'] | Citation Text: <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['195','204','111'] | Reference Text: <S sid="111" ssid="32">buy - acquire (5) buy - agree (2) buy - purchase (5) buy - acquisition (7) buy - pay (2)* buy - buyout (3) buy - bid (2) acquire - purchase (2) acquire - acquisition (2) acquire - pay (2)* purchase - acquisition (4) purchase - stake (2)* acquisition - stake (2)* unit - subsidiary (2) unit - parent (5) It is clear that these links form two clusters which are mostly correct.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> <S sid="204" ssid="1">We proposed an unsupervised method to discover paraphrases from a large untagged corpus.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 2 | Reference Article: I05-5011.xml | Citing Article: C08-1107.xml | Citation Marker Offset: ['42'] | Citation Marker: Sekine, 2005 | Citation Offset: ['42'] | Citation Text: <S sid ="42" ssid = "12">The coverage of u by v is measured by: pare between these complex features of t and tl (Ravichandran and Hovy, 2002; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['31','NA','NA'] | Reference Text: <S sid="31" ssid="7">We use a simple TF/IDF method to measure the topicality of words.</S> | Discourse Facet: ['Aim_Citation','Method_Citation'] | Annotator: Sweta Kumari


Citance Number: 3 | Reference Article: I05-5011.xml | Citing Article: C10-2017.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">In the same way, most NLP systems like information retrieval (Sekine, 2005) or question answering (Duclaye et al., 2003), based on pattern recognition, can be improved by a paraphrase generator.</S> | Reference Offset: ['13','202','188'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a userÃḃÂÂs query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the userÃḃÂÂs question even if the formulation of the answer in the document is different from the question.</S> <S sid="188" ssid="15">Using structural information As was explained in the results section, we extracted examples like ÃḃÂÂSmith estimates LotusÃḃÂÂ, from a sentence like ÃḃÂÂMr.</S> <S sid="202" ssid="29">Also, expanding on the techniques for the automatic generation of extraction patterns (Riloff 96; Sudo 03) using our method, the extraction patterns which have the same meaning can be automatically linked, enabling us to produce the final table fully automatically.</S> | Discourse Facet: ['Implication_Citation','Method_Citation'] | Annotator: Sweta Kumari


Citance Number: 4 | Reference Article: I05-5011.xml | Citing Article: D12-1094.xml | Citation Marker Offset: ['70'] | Citation Marker: Sekine, 2005 | Citation Offset: ['70'] | Citation Text: <S sid ="70" ssid = "25">Data-driven paraphrase discovery methods (Lin and Pantel, 2001; Pasca and Dienes, 2005; Wu and Zhou, 2003; Sekine, 2005) extends the idea of distributional similarity to phrases.</S> | Reference Offset: ['203','167','0'] | Reference Text: <S sid="0">Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs</S> <S sid="167" ssid="14">Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S> <S sid="203" ssid="30">While there are other obstacles to completing this idea, we believe automatic paraphrase discovery is an important component for building a fully automatic information extraction system.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari

