Citance Number: 1 | Reference Article:  N09-1003.txt | Citing Article:  P14-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Agirre et al (2009) split thews set into similarity (wss) and relatedness (wsr) subsets.</S> | Reference Offset:  ['31','137'] | Reference Text:  <S sid = 31 ssid = >More details of our algorithm can be found in (Agirre and Soroa, 2009).</S><S sid = 137 ssid = >Table 5 shows the results on the relatedness and similarity subsets of WordSim353 for the different methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N09-1003.txt | Citing Article:  W11-2503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Interestingly, the same overall result pattern is observed if we limit evaluation to the WordSim subsets that Agirre et al (2009) have identified as semantically similar (e.g., synonyms or coordinate terms) and semantically related (e.g., meronyms or topically related concepts).</S> | Reference Offset:  ['103','107'] | Reference Text:  <S sid = 103 ssid = >Therefore, terms that are topically related can appear in the same textual passages and will get high values using this model.</S><S sid = 107 ssid = >Therefore, true synonyms and hyponyms/hyperonyms will receive high similarities, whereas terms related topically or based on any other semantic relation (e.g. movie and star) will have lower scores.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N09-1003.txt | Citing Article:  N10-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Spearman's rank correlation (ρ) with average human judgements (Agirre et al., 2009) was used to measure the quality of various models.</S> | Reference Offset:  ['79','87'] | Reference Text:  <S sid = 79 ssid = >In order to calculate similarities in a cross-lingual setting, where some of the words are in a language l other than English, the following algorithm is used: models and distributional models.</S><S sid = 87 ssid = >The second dataset, WordSim3535 (Finkelstein et al., 2002) contains 353 word pairs, each associated with an average of 13 to 16 human judgements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N09-1003.txt | Citing Article:  N10-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Multiple prototypes improve Spearman correlation on WordSim-353 compared to previous methods using the same underlying representation (Agirre et al., 2009).</S> | Reference Offset:  ['31','87'] | Reference Text:  <S sid = 31 ssid = >More details of our algorithm can be found in (Agirre and Soroa, 2009).</S><S sid = 87 ssid = >The second dataset, WordSim3535 (Finkelstein et al., 2002) contains 353 word pairs, each associated with an average of 13 to 16 human judgements.</S> | Discourse Facet:  NA | Annotator: Automatic


