Citance Number: 1 | Reference Article:  J99-2004.txt | Citing Article:  W02-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These are much finer grained than Penn Treebank preterminals tags, and more akin to those used in Tree Adjoining Grammar models (Bangalore and Joshi,1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In a lexicalized grammar such as the Lexicalized Tree Adjoining Grammar (LTAG), each lexical item is associated with at least one elementary structure (tree).</S><S sid = NA ssid = NA>We have explored these ideas in the context of the Lexicalized Tree-Adjoining Grammar (LTAG) framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J99-2004.txt | Citing Article:  C04-1167.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Supertags are the elementary structures of Lexicalized Tree Adjoining Grammars (LTAGs) (Bangalore and Joshi, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In a lexicalized grammar such as the Lexicalized Tree Adjoining Grammar (LTAG), each lexical item is associated with at least one elementary structure (tree).</S><S sid = NA ssid = NA>We first employed these ideas in the context of Lexicalized Tree Adjoining grammars (LTAG) in Joshi and Srinivas (1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J99-2004.txt | Citing Article:  C04-1167.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the supertagger (Bangalore and Joshi, 1999) to supertag each word in the corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A total of 300 different supertags were used in these experiments. mance of the trigram supertagger on the IBM Manual corpus, a set of 14,000 words correctly supertagged was used as the training corpus and a set of 1,000 words was used as a test corpus.</S><S sid = NA ssid = NA>The performance of the supertagger on this corpus is shown in Table 6.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J99-2004.txt | Citing Article:  W05-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Insertion of further information such as supertags (Bangalore and Joshi, 1999) or word stems can also be beneficial for further processing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Moreover, since the supertags encode dependency information, we can also use information about the distribution of distances between a given supertag and its dependent supertags.</S><S sid = NA ssid = NA>One method of disambiguating the supertags assigned to each word is to order the supertags by the lexical preference that the word has for them.</S> | Discourse Facet:  NA | Annotator: Automatic


