Citance Number: 1 | Reference Article:  J04-1002.txt | Citing Article:  W06-0307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To determine whether semantic restrictions are being violated, domain information from ontologies/thesauri such as WordNet could be used and/or statistical techniques as used by Mason (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CorMet does not use any of WordNet’s information about verbs and ignores regularities in the distribution of noun homonyms that could be used to find some metaphors.</S><S sid = NA ssid = NA>This regularity, detectable with a shallow linguistic analysis, is used to find the metaphorical interconcept mappings, which can then be used to infer the existence of higher-level conventional metaphors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J04-1002.txt | Citing Article:  W06-3506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous work on automated metaphor detection includes Fass (1991), Martin (1990), and Mason (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Two of the most broadly effective computational models of metaphor are Fass (1991) and Martin (1990), in both of which metaphors are detected through selectionalpreference violations and interpreted using an ontology.</S><S sid = NA ssid = NA>Martin (1990) describes the Metaphor Interpretation, Denotation, and Acquisition System (MIDAS), a computational model of metaphor interpretation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J04-1002.txt | Citing Article:  W07-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The CorMet system (Mason, 2004) dynamically mines domain specific corpora to find less frequent usages and identifies conceptual metaphors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CorMet’s domain-specific corpora are obtained from the Internet.</S><S sid = NA ssid = NA>CorMet uses gradients in selectional preferences learned from dynamically mined, domain-specific corpora to identify metaphoric mappings between concepts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J04-1002.txt | Citing Article:  P11-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mason (2004) shows how statistical analysis can automatically detect and extract conventional metaphors from corpora, though creative metaphors still remain a tantalizing challenge.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although MIDAS can quickly understand novel metaphors that are the descendants of metaphors in its memory, it cannot interpret compound metaphors or detect intermetaphor relationships besides inheritance.</S><S sid = NA ssid = NA>Since not all novel metaphors are descendants of common conventional metaphors, MIDAS’s coverage is limited.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J04-1002.txt | Citing Article:  W07-0104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CorMet demonstrates the viability of a computational, corpus-based approach to conventional metaphor but requires more work before it can constitute a viable NLP tool.</S><S sid = NA ssid = NA>In the MILITARY domain, the object of assault selects strongly for fortification but not social group, whereas the selectional preferences for the object of attack are the opposite.</S> | Discourse Facet:  NA | Annotator: Automatic


