Citance Number: 1 | Reference Article:  N09-1046.txt | Citing Article:  P10-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dyer (2009) also employed a segmentation lattice, which represents ambiguities of compound word segmentation in German, Hungarian and Turkish translation.</S> | Reference Offset:  ['85','120'] | Reference Text:  <S sid = 85 ssid = >We now review experiments using segmentation lattices produced by the segmentation model we just introduced in German-English, Hungarian-English, and Turkish-English translation tasks and then show results elucidating the effect of the lattice density parameter.</S><S sid = 120 ssid = >These segmentation lattices improve translation quality (over an already strong baseline) in three typologically distinct languages (German, Hungarian, Turkish) when translating into English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N09-1046.txt | Citing Article:  E12-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To construct a segmentation dictionary, I used the 1-best segmentations from a supervised MaxEnt compound splitter (Dyer, 2009) run on all token types in bitext.</S> | Reference Offset:  ['8','69'] | Reference Text:  <S sid = 8 ssid = >Taken as a stand-alone task, the goal of a compound splitter is to produce a segmentation for some input that matches the linguistic intuitions of a native speaker of the language.</S><S sid = 69 ssid = >The features we used in our compound segmentation model for the experiments reported below are shown in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N09-1046.txt | Citing Article:  C10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Despite their simplicity, unigram weights have been shown as an effective feature in segmentation models (Dyer, 2009).</S> | Reference Offset:  ['79','128'] | Reference Text:  <S sid = 79 ssid = >The weights shown in Table 2 are those learned by maximum likelihood training on models both with and without the special German features, which are indicated with †.</S><S sid = 128 ssid = >Second, incorporating target language information into a segmentation model holds considerable promise for inducing more effective translation models that perform especially well for segmentation lattice inputs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N09-1046.txt | Citing Article:  P11-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The baseline system was trained on unsegmented words, and the experimental system was constructed using the most probable segmentation of the German text according to the CRF word segmentation model of Dyer (2009).</S> | Reference Offset:  ['99','104'] | Reference Text:  <S sid = 99 ssid = >In this section, we report the results of an experiment to see if the compound lattices constructed using our maximum entropy model yield better translations than either an unsegmented baseline or a baseline consisting of a single-best segmentation.</S><S sid = 104 ssid = >In the LATTICE condition, we constructed segmentation lattices using the technique described in Section 3.1.</S> | Discourse Facet:  NA | Annotator: Automatic


