Citance Number: 1 | Reference Article:  P05-1011.txt | Citing Article:  W05-1510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Comparing the latter half of the experimental results with those on parsing (Miyao and Tsujii, 2005), we investigated similarities and differences between probabilistic models for parsing and generation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Probabilistic Disambiguation Models For Wide-Coverage HPSG Parsing</S><S sid = NA ssid = NA>To our knowledge, this work provides the first results of extensive experiments of parsing Penn Treebank with a probabilistic HPSG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1011.txt | Citing Article:  W05-1510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The atomic features and their combinations are imported from the previous work on HPSG parsing (Miyao and Tsujii, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we investigate combinations of the atomic features listed in Table 1.</S><S sid = NA ssid = NA>The accuracy was measured by removing some of the atomic features from the final model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1011.txt | Citing Article:  W05-1510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar results are reported in parsing (Miyao and Tsujii, 2005) while the accuracy saturated around 16,000 sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>High accuracy was attained even with small data, and the accuracy seemed to be saturated.</S><S sid = NA ssid = NA>This results from the HPSG grammar having stricter feature constraints and the parser not being able to produce parse results for around one percent of the sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1011.txt | Citing Article:  W05-1510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These results are different from those in parsing reported by Miyao and Tsujii (2005) where COMMA and SPAN especially contributed to the accuracy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The results indicate that DIST, COMMA, SPAN, WORD, and POS features contributed to the final accuracy, although the differences were slight.</S><S sid = NA ssid = NA>This method reduces the time for RULE the name of the applied schema DIST the distance between the head words of the daughters COMMA whether a comma exists between daughters and/or inside of daughter phrases SPAN the number of words dominated by the phrase SYM the symbol of the phrasal category (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1011.txt | Citing Article:  P06-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Future work includes the investigation of such features, as well as the abstraction of lexical dependencies like semantic classes.</S><S sid = NA ssid = NA>The above method allows for the tractable estimation of log-linear models on exponentially-many HPSG parse trees.</S> | Discourse Facet:  NA | Annotator: Automatic


