Citance Number: 1 | Reference Article:  D10-1001.txt | Citing Article:  D10-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, in other recent work, Rush et al (2010) describe dual decomposition approaches for other NLP problems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This section describes the dual decomposition approach for two inference problems in NLP.</S><S sid = NA ssid = NA>Our work is inspired by dual decomposition methods for inference in Markov random fields (MRFs) (Wainwright et al., 2005a; Komodakis et al., 2007; Globerson and Jaakkola, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D10-1001.txt | Citing Article:  P14-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This method is called dual decomposition (DD) (Rush et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Koo et al. (2010) describe a dual decomposition approach for non-projective dependency parsing, which makes use of both dynamic programming and spanning tree inference algorithms.</S><S sid = NA ssid = NA>Our work is inspired by dual decomposition methods for inference in Markov random fields (MRFs) (Wainwright et al., 2005a; Komodakis et al., 2007; Globerson and Jaakkola, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D10-1001.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In NLP, Rush et al (2010) and Koo et al (2010) applied dual decomposition to enforce agreement between different sentence-level algorithms for parsing and POS tagging.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Koo et al. (2010) describe a dual decomposition approach for non-projective dependency parsing, which makes use of both dynamic programming and spanning tree inference algorithms.</S><S sid = NA ssid = NA>See Koo et al. (2010) for a similar, but less aggressive step size used to solve a different task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D10-1001.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is a slight variation of the proof given by Rush et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Then Proof: This theorem is a special case of Martin et al. (1990), theorem 2.</S><S sid = NA ssid = NA>The constraints are given in figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D10-1001.txt | Citing Article:  D11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach is conceptually similar to that of Rush et al (2010), which combined separately trained models by enforcing agreement using global inference and solving its linear programming relaxation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The two models were again trained separately.</S><S sid = NA ssid = NA>The approach provably solves a linear programming (LP) relaxation of the global inference problem.</S> | Discourse Facet:  NA | Annotator: Automatic


