Citance Number: 1 | Reference Article:  P01-1067.txt | Citing Article:  W02-1405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Very recently, Yamada and Knight (2001) described a model in which the noisy-channel takes as input a parsed sentence rather than simple words.</S> | Reference Offset:  ['11','19'] | Reference Text:  <S sid = 11 ssid = >Their models are based on a string-to-string noisy channel model.</S><S sid = 19 ssid = >To incorporate structural aspects of the language, our channel model accepts a parse tree as an input, i.e., the input sentence is preprocessed by a syntactic parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P01-1067.txt | Citing Article:  P14-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhu et al. (2010) constructed a parallel corpus (PWKP) of 108,016/114,924 complex/simple sentences by aligning sentences from EWKP and SWKP and used the resulting bitext to train a simplification model inspired by syntax-based machine translation (Yamada and Knight, 2001).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >A Syntax-Based Statistical Translation Model</S><S sid = 1 ssid = >We present a syntax-based statistical translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P01-1067.txt | Citing Article:  P14-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We refer the reader to (Yamada and Knight, 2001) for more details.</S> | Reference Offset:  ['15','33'] | Reference Text:  <S sid = 15 ssid = >Mathematical details are fully described in (Brown et al., 1993).</S><S sid = 33 ssid = >Following (Brown et al., 1993) and the other literature in TM, this paper only focuses the details of TM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P01-1067.txt | Citing Article:  W06-3601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Both Yamada and Knight (2001) and Chiang (2005) use SCFGs as the underlying model, so their translation schemata are syntax-directed as in Fig.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >A Syntax-Based Statistical Translation Model</S><S sid = 1 ssid = >We present a syntax-based statistical translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P01-1067.txt | Citing Article:  W06-3601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This example also shows that, one-level SCFG rule, even if informed by the Treebank as in (Yamada and Knight, 2001), is not enough to capture a common construction like this which is five levels deep (from VP to by).</S> | Reference Offset:  ['38','52'] | Reference Text:  <S sid = 38 ssid = >We first introduce our translation model with an example.</S><S sid = 52 ssid = >That is, a function word like ga is just as likely to be inserted in one place as any other.</S> | Discourse Facet:  NA | Annotator: Automatic


