Citance Number: 1 | Reference Article:  J08-2005.txt | Citing Article:  P09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow the approach in (Punyakanok et al, 2008) in framing the SRL problem as a two-stage pipeline: identification followed by labeling.</S> | Reference Offset:  ['51','242'] | Reference Text:  <S sid = 51 ssid = >As with our full syntactic parse?based SRL system (Koomen et al.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J08-2005.txt | Citing Article:  P09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast to the approach in (Punyakanok et al, 2008), which tags constituents directly, we tag headwords and then associate them with a constituent, as in a previous CCG-based approach (Gildea and Hockenmaier, 2003).</S> | Reference Offset:  ['23','24'] | Reference Text:  <S sid = 23 ssid = >2003; Surdeanu et al.</S><S sid = 24 ssid = >2003; Pradhan et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J08-2005.txt | Citing Article:  P09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, the system described in (Punyakanok et al., 2008) uses a joint inference model to resolve discrepancies between multiple automatic parses.</S> | Reference Offset:  ['41','242'] | Reference Text:  <S sid = 41 ssid = >2004) in the competition is about 10 points in F1 below the best system that uses full parsing information (Koomen et al.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J08-2005.txt | Citing Article:  P09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, others (Punyakanok et al, 2008, e.g.), have found that different parsers have different error patterns, and so using multiple parsers can yield complementary sources of correct information.</S> | Reference Offset:  ['384','467'] | Reference Text:  <S sid = 384 ssid = >However, when the automatic parsers are used, using the full parsing information may not have better overall results compared to using shallow parsing.</S><S sid = 467 ssid = >In fact, these two parsers have noticeably different outputs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J08-2005.txt | Citing Article:  P09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The results for gold standard parses are comparable to the winning system of the CoNLL 2005 shared task on semantic role labeling (Punyakanok et al, 2008).</S> | Reference Offset:  ['10','533'] | Reference Text:  <S sid = 10 ssid = >Our system has been evaluated in the CoNLL-2005 shared task on semantic role labeling, and achieves the highest F1 score among 19 participants.</S><S sid = 533 ssid = >Table 12 Overall CoNLL-2005 shared task results.</S> | Discourse Facet:  NA | Annotator: Automatic


