Citance Number: 1 | Reference Article:  P99-1068.txt | Citing Article:  W00-0801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is implemented by Resnik and described in detail in [Resnik, 1999], calculates the similarity between all the words' senses of words in a set.</S> | Reference Offset:  ['3','115'] | Reference Text:  <S sid = 3 ssid = >The most recent end-product is an automatically acquired parallel corpus comprising 2491 English-French document pairs, approximately 1.5 million words per language.</S><S sid = 115 ssid = >This translates into an estimated 100% precision against 64.1% recall, with a yield of 2491 documents, approximately 1.5 million words per language as counted after removal of HTML markup.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1068.txt | Citing Article:  W02-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, I show that this algorithm performs competitively with the approach of Resnik (1999), in which only Association for Computational Linguistics.</S> | Reference Offset:  ['27','130'] | Reference Text:  <S sid = 27 ssid = >The candidate generation stage is followed by a candidate evaluation stage that represents the core of the approach, filtering out bad candidates from the set of generated page pairs.</S><S sid = 130 ssid = >Preliminary experiments using even small amounts of these data suggest that standard techniques, such as cross-language lexical association, can uncover useful data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1068.txt | Citing Article:  W02-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The STRAND system (Resnik, 1999), for example, uses structural markup information from the pages, without looking at their content, to attempt to align them.</S> | Reference Offset:  ['8','29'] | Reference Text:  <S sid = 8 ssid = >Although the majority of Web content is in English, it also shows great promise as a source of multilingual content.</S><S sid = 29 ssid = >For example, see Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1068.txt | Citing Article:  W02-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These were the same pairs for which human evaluations were carried out by Resnik (1999).</S> | Reference Offset:  ['80','87'] | Reference Text:  <S sid = 80 ssid = >The value of N is the number of pairs that were included, after excluding those for which the human judgement in the comparison was undecided.</S><S sid = 87 ssid = >Moreover, at least for the confidently judged cases, STRAND is in agreement with the combined human judgment more often than the human judges agree with each other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P99-1068.txt | Citing Article:  W02-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The STRAND scores are similar to those published by Resnik (1999).</S> | Reference Offset:  ['21','28'] | Reference Text:  <S sid = 21 ssid = >This section is a brief summary of the STRAND system and previously reported preliminary results (Resnik, 1998).</S><S sid = 28 ssid = >It employs a structural recognition algorithm exploiting the fact that Web pages in parallel translation are invariably very similar in the way they are structured — hence the 's' in STRAND.</S> | Discourse Facet:  NA | Annotator: Automatic


