Citance Number: 1 | Reference Article:  J99-4004.txt | Citing Article:  C02-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['204','598'] | Reference Text:  <S sid = 204 ssid = >Notice that an item derivation is a tree, not a directed graph.</S><S sid = 598 ssid = >We hope this paper will bring about Teitelbaum's wish.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J99-4004.txt | Citing Article:  P11-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Figure 3 presents the deductive inference rules (Goodman, 1999) for our generation algorithm.</S> | Reference Offset:  ['57','530'] | Reference Text:  <S sid = 57 ssid = >The A, can be either items, or (in an extension of the usual convention for inference rules) rules, such as R(A BC).</S><S sid = 530 ssid = >First, there is the work in deductive parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J99-4004.txt | Citing Article:  P04-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We presume that readers are familiar with declarative descriptions of inference algorithms, as well as with semiring parsing (Goodman, 1999).</S> | Reference Offset:  ['0','236'] | Reference Text:  <S sid = 0 ssid = >Semiring Parsing</S><S sid = 236 ssid = >All of the semirings we use should be familiar, except for the derivation semirings, which we now describe.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J99-4004.txt | Citing Article:  P04-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goodman (1999) shows how a parsing logic can be combined with various semirings to compute different kinds of information about the input.</S> | Reference Offset:  ['347','407'] | Reference Text:  <S sid = 347 ssid = >Pointers, in various forms, allow one to efficiently represent infinite circular references, either directly (Goodman 1999), or indirectly (Goodman 1998).</S><S sid = 407 ssid = >Also, notice that for D combined from 0 and I completing the proof.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J99-4004.txt | Citing Article:  P04-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Under the various derivation semirings (Goodman, 1999).</S> | Reference Offset:  ['236','347'] | Reference Text:  <S sid = 236 ssid = >All of the semirings we use should be familiar, except for the derivation semirings, which we now describe.</S><S sid = 347 ssid = >Pointers, in various forms, allow one to efficiently represent infinite circular references, either directly (Goodman 1999), or indirectly (Goodman 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


