Citance Number: 1 | Reference Article:  D11-1129.txt | Citing Article:  W11-2507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We discuss three ways of constructing such matrices, and evaluate each method in a disambiguation task developed by Grefenstette and Sadrzadeh (2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated our model in two ways: first against the word disambiguation task of Mitchell and Lapata (2008) for intransitive verbs, and then against a similar new experiment for transitive verbs, which we developed.</S><S sid = NA ssid = NA>The evaluation is based on the word disambiguation task developed by Mitchell and Lapata (2008) for intransitive sentences, and on a similar new experiment designed for transitive sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D11-1129.txt | Citing Article:  W11-2507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Grefenstette and Sadrzadeh, 2011), we developed and implemented one such method on the data from the British National Corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A concrete instantiation of this theory was exemplified on a toy hand crafted corpus by Grefenstette et al. (2011).</S><S sid = NA ssid = NA>These results show that the high level categorical distributional model, uniting empirical data with logical form, can be implemented just like any other concrete model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D11-1129.txt | Citing Article:  W11-2507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The experiment is on the dataset developed in (Grefenstette and Sadrzadeh, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Second Dataset Description The second dataset6, developed by the authors, follows the format of the (Mitchell and Lapata, 2008) dataset used for the first experiment, with the exception that the target and landmark verbs are transitive, and an object noun is provided in addition to the subject noun, hence forming a small transitive sentence.</S><S sid = NA ssid = NA>In (Grefenstette et al., 2011), it is suggested that the simplified model we presented and expanded here could be evaluated in the same way as lexical semantic models, measuring compositionally built sentence vectors against a benchmark dataset such as that provided by Mitchell and Lapata (2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D11-1129.txt | Citing Article:  W11-2507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Furthermore, the success of both of these methods relative to the others examined in Table 1 shows that it is the extra information provided in the matrix (rather than just the diagonal, representing the lexical vector) that encodes the relational nature of transitive verbs, thereby validating in part the requirement suggested in Coecke et al (2010) and Grefenstette and Sadrzadeh (2011) that relational word vectors live in a space the dimensionality of which be a function of the arity of the relation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In (Grefenstette et al., 2011), it is suggested that the simplified model we presented and expanded here could be evaluated in the same way as lexical semantic models, measuring compositionally built sentence vectors against a benchmark dataset such as that provided by Mitchell and Lapata (2008).</S><S sid = NA ssid = NA>The point-wise multiplication of these vectors is defined as follows -+v O �-+ w = cai cbi ni -+ i The intuition behind having a matrix for a relational word is that any relation R on sets X and Y , i.e.</S> | Discourse Facet:  NA | Annotator: Automatic


