Citance Number: 1 | Reference Article: C98-1097 | Citing Article: C02-1033 | Citation Marker Offset: ['15'] | Citation Marker: Jobbins and Evett, 1998 | Citation Offset: ['15'] | Citation Text: <S sid ="15" ssid = "15">Hybrid systems that combine the approaches we have presented were also developed and illustrated the interest of such a combination: (Jobbins and Evett, 1998) combined word recurrence, collocations and a thesaurus; (Beeferman et al., 1999) relied on both collocations and linguistic cues.</S> | Reference Offset: ['45'] | Reference Text: <S sid ="45" ssid = "1">To automatically detect lexical cohesion tics between pairwise words, three linguistic features were considered: word repetition, collocation and relation weights.</S> | Discourse Facet: Method_Citation | 
Citance Number: 2 | Reference Article: C98-1097 | Citing Article: C02-1033 | Citation Marker Offset: ['136'] | Citation Marker: Jobbins and Evett, 1998 | Citation Offset: ['136'] | Citation Text: <S sid ="136" ssid = "91">Thus, Table 1 confirms the fact reported in (Jobbins and Evett, 1998) that using collocations together with word recurrence is an interesting approach for text segmentation.</S> | Reference Offset: ['115'] | Reference Text: <S sid ="115" ssid = "23">Both word repetition in combination with collocation and all three features in combination also achieved a precision rate of 0.80 but attained a lower recall rate of 0.62.</S> | Discourse Facet: Method_Citation | 
Citance Number: 3 | Reference Article: C98-1097 | Citing Article: ICDAR99 | Citation Marker Offset: ['31'] | Citation Marker: 11.0 | Citation Offset: '31','32' | Citation Text: <S sid ="31" ssid = "1">In earlier work [11] a text segmentation algorithm was described that captured all types of lexical cohesion ties.</S><S sid ="32" ssid = "2">To automatically find ties between pairwise words three features were developed: word repetition, collocation and relation weights.</S> | Reference Offset: ['45'] | Reference Text: <S sid ="45" ssid = "1">To automatically detect lexical cohesion tics between pairwise words, three linguistic features were considered: word repetition, collocation and relation weights.</S> | Discourse Facet: Method_Citation | 
Citance Number: 4 | Reference Article: C98-1097 | Citing Article: P07-1061 | Citation Marker Offset: ['17'] | Citation Marker: Job- bins and Evett, 1998 | Citation Offset: ['17'] | Citation Text: <S sid ="17" ssid = "17">Hybrid systems that combine the approaches we have presented were also developed and illustrated the interest of such a combination: (Job- bins and Evett, 1998) combined word recurrence, co-occurrences and a thesaurus; (Beeferman et al., 1999) relied on both lexical modeling and discourse cues; (Galley et al., 2003) made use of word reiteration through lexical chains and discourse cues.</S> | Reference Offset: ['45'] | Reference Text: <S sid ="45" ssid = "1">To automatically detect lexical cohesion tics between pairwise words, three linguistic features were considered: word repetition, collocation and relation weights.</S> | Discourse Facet: Method_Citation | 
Citance Number: 5 | Reference Article: C98-1097 | Citing Article: P07-1061 | Citation Marker Offset: ['30'] | Citation Marker: Jobbins and Evett, 1998 | Citation Offset: ['30','31','32'] | Citation Text: <S sid ="30" ssid = "9">When no external knowledge is used, this similarity is only based on the strict reiteration of words.</S><S sid ="31" ssid = "10">But it can be enhanced by taking into account semantic relations between words.</S><S sid ="32" ssid = "11">This was done for instance in (Jobbins and Evett, 1998) by taking semantic relations from Rogets Thesaurus.</S> | Reference Offset: ['20','45'] | Reference Text: <S sid ="20" ssid = "20">Another approach extracted semantic information from Roget&apos;s Thesaurus (RT).</S><S sid ="45" ssid = "1">To automatically detect lexical cohesion tics between pairwise words, three linguistic features were considered: word repetition, collocation and relation weights.</S> | Discourse Facet: Method_Citation | 
Citance Number: 6 | Reference Article: C98-1097 | Citing Article: P07-1061 | Citation Marker Offset: ['90'] | Citation Marker: Jobbins and Evett, 1998 | Citation Offset: ['89','90'] | Citation Text: <S sid ="89" ssid = "5">The cohesion in the part of text delimited by this window is evaluated by measuring the word reiteration between its two sides.</S><S sid ="90" ssid = "6">This is done in our case by applying the Dice coefficient between the two sides of the focus window, following (Jobbins and Evett, 1998).</S> | Reference Offset: ['41','47','50'] | Reference Text: <S sid ="41" ssid = "41">Reiteration is subdivided into four cohesive effects: word repetition (e.g. ascent and ascent), synonym (e.g. ascent and climb) which includes near-synonym and hyponym, superordinate (e.g. ascent and task) and general word (e.g. ascent and thing).</S><S sid ="47" ssid = "3">Word repetition is a component of the lexical cohesion class of reiteration, and collocation is a lexical cohesion class in its entirety.</S><S sid ="50" ssid = "6">Word repetition: Word repetition ties in lexical cohesion are identified by same word matches and matches on inflections derived from the same stem.</S> | Discourse Facet: Method_Citation | 
Citance Number: 7 | Reference Article: C98-1097 | Citing Article: P07-1061 | Citation Marker Offset: ['98'] | Citation Marker: Jobbins and Evett, 1998 | Citation Offset: ['97','98'] | Citation Text: <S sid ="97" ssid = "13">This evaluation is also a weak point as card(Wl  Wr ) only relies on word reiteration.</S><S sid ="98" ssid = "14">As a consequence, two different words that respectively belongs to Wl and Wr but also belong to the same text topic cannot contribute l r to the identification of a possible topical similarity This measure was adopted instead of the Cosine measure used in TextTiling because its definition in terms of sets makes it easier to extend for taking into account other types of relations, as in (Jobbins and Evett, 1998).</S> | Reference Offset: ['123','124','125'] | Reference Text: <S sid ="123" ssid = "31">The combination of features word repetition and relation weights produced the best precision and recall rates of 0.80 and 0.69.</S><S sid ="124" ssid = "32">When used in isolation, the performance of each feature was inferior to a combined approach.</S><S sid ="125" ssid = "33">This fact provides evidence that different lexical relations are detected by each linguistic feature considered.</S> | Discourse Facet: Method_Citation | 
Citance Number: 8 | Reference Article: C98-1097 | Citing Article: P07-1061 | Citation Marker Offset: ['203'] | Citation Marker: Jobbins and Evett, 1998 | Citation Offset: ['203','204'] | Citation Text: <S sid ="203" ssid = "21">In fact, the way we use relations between words is closer to (Jobbins and Evett, 1998), even if the relations in this work come from a network of co-occurrences or a thesaurus rather than from text topics.</S><S sid ="204" ssid = "22">In both cases the similarity of two text units is determined by the proportion of their words that are part of a relation across the two units.</S> | Reference Offset: ['45'] | Reference Text: <S sid ="45" ssid = "1">To automatically detect lexical cohesion tics between pairwise words, three linguistic features were considered: word repetition, collocation and relation weights.</S> | Discourse Facet: Method_Citation | 
Citance Number: 9 | Reference Article: C98-1097 | Citing Article: P07-1061 | Citation Marker Offset: ['216'] | Citation Marker: Job- bins and Evett, 1998 | Citation Offset: ['216'] | Citation Text: <S sid ="216" ssid = "8">This network could also be used more directly for topic segmentation as in (Job- bins and Evett, 1998).</S> | Reference Offset: ['62'] | Reference Text: <S sid ="62" ssid = "1">The proposed segmentation algorithm compares adjacent windows of sentences and determines their lexical similarity.</S> | Discourse Facet: Method_Citation | 
Citance Number: 10 | Reference Article: C98-1097 | Citing Article: P04470 | Citation Marker Offset: ['27'] | Citation Marker: 5.0 | Citation Offset: ['27'] | Citation Text: <S sid ="27" ssid = "4">In other words, meaning of UW can be found generally through co- occurrence words [5].</S> | Reference Offset: ['45'] | Reference Text: <S sid ="45" ssid = "1">To automatically detect lexical cohesion tics between pairwise words, three linguistic features were considered: word repetition, collocation and relation weights.</S> | Discourse Facet: Method_Citation | 
Citance Number: 11 | Reference Article: C98-1097 | Citing Article: P06128 | Citation Marker Offset: ['10'] | Citation Marker: 1.0 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">In information retrieval, to segment a long document into distinct topics is useful because only the topical segments relevant to the users needs are retrieved [1].</S> | Reference Offset: ['7','8'] | Reference Text: <S sid ="7" ssid = "7">The Wall Street Journal archives, for example, consist of a series of articles about different subject areas.</S><S sid ="8" ssid = "8">Segmenting such data into distinct topics is useful for information retrieval, where only those segments relevant to a user&apos;s query can be retrieved.</S> | Discourse Facet: Method_Citation | 
