Citance Number: 1 | Reference Article:  P05-1077.txt | Citing Article:  P14-2081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>NNS is essential in dealing with many search related tasks, and also fundamental to a broad range of Natural Language Processing (NLP) downstream problems including person name spelling correction (Udupa and Kumar, 2010), document translation pair acquisition (Krstovski and Smith, 2011), large-scale similar noun list generation (Ravichandran et al, 2005), lexical variants mining (Gouws et al, 2011), and large-scale first story detection (Petrovic et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the last decade, the field of Natural Language Processing (NLP), has seen a surge in the use of corpus motivated techniques.</S><S sid = NA ssid = NA>However, most language analysis tools are too infeasible to run on the scale of the web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1077.txt | Citing Article:  W11-2504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We wish to thank USC Center for High Performance Computing and Communications (HPCC) for helping us use their cluster computers.</S><S sid = NA ssid = NA>This algorithm was further improved by Charikar (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1077.txt | Citing Article:  P08-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ravichandran et al (2005) have shown that by using the LSH nearest neighbors calculation can be done in O (nd) time.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using fast search algorithm to find nearest neighbors.</S><S sid = NA ssid = NA>B of its closest neighbors in the sorted list.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1077.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>III and Marcu (2005), who use word class features derived from a Web-scale corpus via a process described in Ravichandran et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We do not use grammatical features in the web corpus since parsing is generally not easily web scalable.</S><S sid = NA ssid = NA>We use the context words as features of the noun vector.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1077.txt | Citing Article:  P06-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our classifier for (m, n)-cousins is derived from the algorithm and corpus given in (Ravichandran et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The algorithm given in Charikar (2002) is described to find the nearest neighbor for a given vector.</S><S sid = NA ssid = NA>We eliminate duplicate and near duplicate documents by using the algorithm described by Kolcz et al. (2004).</S> | Discourse Facet:  NA | Annotator: Automatic


