Citance Number: 1 | Reference Article:  J01-2001.txt | Citing Article:  W02-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goldsmith (2001b; 2001a), inspired by de Marcken's (1995) thesis on minimum description length, attempts to provide both a list of morphemes and an analysis of each word in a corpus.</S> | Reference Offset:  ['172','236'] | Reference Text:  <S sid = 172 ssid = >De Marcken describes an unsupervised learning algorithm for the development of a lexicon using a minimum description length framework.</S><S sid = 236 ssid = >The compressed length of the model is the length of the stem list, the suffix list, and the signature list.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J01-2001.txt | Citing Article:  W02-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Goldsmith, 2001b), endeavor to learn to analyze the morphology of the language at hand in the manner of a linguist.</S> | Reference Offset:  ['403','578'] | Reference Text:  <S sid = 403 ssid = >Should these be morphologically analyzed in a corpus of English, or rather, should failure to analyze them be penalized for this morphology algorithm?</S><S sid = 578 ssid = >Goldsmith Unsupervised Learning of the Morphology of a Natural Language (7)-(11) as offering us an exact and explicit statement of how a morphology can be improved.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J01-2001.txt | Citing Article:  W02-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Obviously the program needs to be systematically tested on multiple lexica from different languages, but these results strongly suggest that it is possible to model the acquisition of morphology as a component of learning to generate language directly, rather than to treat computational learning as the acquisition of linguistic theory as several current approaches do, e.g. (Goldsmith, 2001b).</S> | Reference Offset:  ['0','9'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Learning Of The Morphology Of A Natural Language</S><S sid = 9 ssid = >This is a report on the present results of a study on unsupervised acquisition of morphology.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J01-2001.txt | Citing Article:  D10-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, the objective of the influential Linguistica program is 'to produce an output that matches as closely as possible the analysis that would be given by a human morphologist' (Goldsmith, 2001).</S> | Reference Offset:  ['3','23'] | Reference Text:  <S sid = 3 ssid = >The resulting grammar matches well the analysis that would be developed by a human morphologist.</S><S sid = 23 ssid = >The program in question takes a text file as its input (typically in the range of 5,000 to 1,000,000 words) and produces a partial morphological analysis of most of the words of the corpus; the goal is to produce an output that matches as closely as possible the analysis that would be given by a human morphologist.</S> | Discourse Facet:  NA | Annotator: Automatic


