Citance Number: 1 | Reference Article:  N04-1025.txt | Citing Article:  W12-2208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Si and Callan (2001) and Collins-Thompson and Callan (2004) have demonstrated the use of language models is more robust for web documents and passages.</S> | Reference Offset:  ['57','204'] | Reference Text:  <S sid = 57 ssid = >To our knowledge, the only previous work which has considered a language modeling approach to readability is a preliminary study by Si and Callan (2001).</S><S sid = 204 ssid = >We also showed that the Smoothed Unigram method is robust for short passages and Web documents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1025.txt | Citing Article:  D08-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['78','211'] | Reference Text:  <S sid = 78 ssid = >This is a well-known issue in language model applications, and it is standard to compensate for this sparseness by smoothing the frequencies in the trained models.</S><S sid = 211 ssid = >We thank the anonymous reviewers for their comments and Luo Si for helpful discussions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1025.txt | Citing Article:  W06-1809.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to adjust search result presentation to the user's reading ability, we estimate the reading difficulty of each retrieved document using the Smoothed Unigram Model, a variation of a Multinomial Bayes classifier (Collins-Thompson and Callan, 2004).</S> | Reference Offset:  ['65','199'] | Reference Text:  <S sid = 65 ssid = >Our statistical model is based on a variation of the multinomial naïve Bayes classifier, which we call the ‘Smoothed Unigram’ model.</S><S sid = 199 ssid = >We have shown that reading difficulty can be estimated with a simple language modeling approach using a modified naïve Bayes classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1025.txt | Citing Article:  W06-1809.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The latter has been found to be more effective as the former when approaching the reading level of subjects in primary and secondary school age (Collins-Thompson and Callan, 2004).</S> | Reference Offset:  ['188','201'] | Reference Text:  <S sid = 188 ssid = >While word difficulty is well-known to be an excellent predictor of reading difficulty (Chall & Edgar, 1995), it was not at all clear how effective our language model approach would be for predicting Web page reading difficulty.</S><S sid = 201 ssid = >Our evaluation suggests that reasonably effective models can be trained with small amounts of easilyacquired data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-1025.txt | Citing Article:  C10-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Collins-Thompson and Callan (2004) adopted a similar approach and used a smoothed unigram model to predict the grade levels of short passages and web documents.</S> | Reference Offset:  ['16','204'] | Reference Text:  <S sid = 16 ssid = >As we show in our evaluation, this generally results in better accuracy for Web documents and very short passages (less than 10 words).</S><S sid = 204 ssid = >We also showed that the Smoothed Unigram method is robust for short passages and Web documents.</S> | Discourse Facet:  NA | Annotator: Automatic


