Citance Number: 1 | Reference Article:  N06-2015.txt | Citing Article:  P06-2118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The data we used for our experiments are developed as part of the OntoNotes project (Hovy et al, 2006) and they come from a variety of sources.</S> | Reference Offset:  ['17','47'] | Reference Text:  <S sid = 17 ssid = >To expedite later stages of annotation, we have developed a parsing system (Gabbard et al., 2006) that recovers both of these latter annotations, the first we know of.</S><S sid = 47 ssid = >Omega, which has been used for MT, summarization, and database alignment, has been assembled semi-automatically by merging a variety of sources, including Princeton’s WordNet, New Mexico State University’s Mikrokosmos, and a variety of Upper Models, including DOLCE (Gangemi et al., 2002), SUMO (Niles and Pease, 2001), and ISI’s Upper Model, which are in the process of being reconciled.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-2015.txt | Citing Article:  P14-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, the CoNLL data sets come from OntoNotes (Hovy et al, 2006), where singleton entities are not annotated, and BLANC has a wider dynamic range on data sets with singletons (Recasens and Hovy, 2011).</S> | Reference Offset:  ['28','66'] | Reference Text:  <S sid = 28 ssid = >Sets of senses under specific nodes of the tree are grouped together into single entries, along with the syntactic and semantic criteria for their groupings, to be presented to the annotators.</S><S sid = 66 ssid = >OntoNotes will provide a large amount of new training data for similar efforts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-2015.txt | Citing Article:  S12-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The second set is radically different as it comprised 750 pairs of glosses from OntoNotes 4.0 (Hovy et al, 2006) and WordNet 3.1 (Fellbaum, 1998) senses.</S> | Reference Offset:  ['26','39'] | Reference Text:  <S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S><S sid = 39 ssid = >The same individual who groups WordNet verb senses also creates noun senses, starting with WordNet and other dictionaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-2015.txt | Citing Article:  W07-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >OntoNotes (Hovy et al, 2006) is a project that has annotated several layers of semantic information including word senses, at a high inter-annotator agreement of over 90%.</S> | Reference Offset:  ['7','26'] | Reference Text:  <S sid = 7 ssid = >We have developed a methodology for producing such a corpus at 90% inter-annotator agreement, and will release completed segments beginning in early 2007.</S><S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S> | Discourse Facet:  NA | Annotator: Automatic


