Citance Number: 1 | Reference Article:  P93-1016.txt | Citing Article:  C96-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This also distinguishes our approach from another major stream of object-oriented natural anguage parsing which is almost entirely concerned with implementational aspects of object-oriented programming, e.g., Habert (1991), Lin (1993) or Yonezawa& amp; Ohsawa (1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parser has been implemented in C++, an object-oriented extension of C. The object-oriented paradigm makes the relationships between nodes and links in the grammar network and their software counterparts explicit and direct.</S><S sid = NA ssid = NA>Section 5 sketches an object-oriented implementation of the parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P93-1016.txt | Citing Article:  P05-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Throughout this paper we used syntactic features generated by the Minipar depend ency parser (Lin, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a principle-based parser that avoids the overgeneration problem by applying principles to descriptions of the structures, instead of the structures themselves.</S><S sid = NA ssid = NA>The movement attributes are generated at the parent node of the initial trace.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P93-1016.txt | Citing Article:  C08-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We obtain candidate properties by parsing a large textual corpus with the Minipar parser (Lin 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Principle-Based Parsing Without Overgeneration</S><S sid = NA ssid = NA>Therefore, a large number of structures will be constructed and evaluated by the attribution rules, thus leading to a serious overgeneration problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P93-1016.txt | Citing Article:  C08-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the Minipar parser (Lin 1993) to analyze each sentence and we collected the frequency counts of the grammatical contexts output by Minipar and used them to compute the probability and point wise mutual information values from Sections 4.1 and 4.2.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>That is, nonatomic attribute values are vectors that consist only of atomic attribute values.</S><S sid = NA ssid = NA>The attribute vectors used here are similar to those in unification based grammars/parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P93-1016.txt | Citing Article:  W06-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use Minipar (Lin, 1993), which produces functional relations for the components in a sentence, including subject and object relations with respect to a verb.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The sentence is successfully parsed if an item is found at IF or CP node whose surface string is the input sentence.</S><S sid = NA ssid = NA>In our model, each syntactic category is represented by an object.</S> | Discourse Facet:  NA | Annotator: Automatic


