Citance Number: 1 | Reference Article:  P97-1063.txt | Citing Article:  W97-0311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All translation models were induced using the method of Melamed (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We induced a two-class word-to-word model of translational equivalence from 13 million words of the Canadian Hansards, aligned using the method in (Gale & Church, 1991).</S><S sid = NA ssid = NA>More accurate models can be induced by taking into account various features of the linked tokens.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P97-1063.txt | Citing Article:  W03-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>SWAT considers only those translations c that has been linked with w based the Competitive Linking Algorithm (Melamed 1997) and logarithmic likelihood ratio (Dunning 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ratio of these probabilities is the likelihood ratio in favor of u and v being mutual translations, for all u and v:</S><S sid = NA ssid = NA>An 'Note that k(u,„) depends on the linking algorithm, but n(„,„.) is a constant property of the bitext. important property of the competitive linking algorithm is that the ratio k(uv)/n(u) tends to be very high if u and v are mutual translations, and quite low if they are not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P97-1063.txt | Citing Article:  P02-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In its basic form the Competitive Linking algorithm (Melamed, 1997) allows for only up to one link per word.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the basic word-to-word model, the hidden parameters A+ and A- depend only on the distributions of link frequencies generated by the competitive linking algorithm.</S><S sid = NA ssid = NA>The competitive linking algorithm implements this heuristic: N.B.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P97-1063.txt | Citing Article:  P05-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The selection order is similar to that in the competitive linking algorithm (Melamed, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The competitive linking algorithm implements this heuristic: N.B.</S><S sid = NA ssid = NA>The purpose of the competitive linking algorithm is to help us re-estimate the model parameters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P97-1063.txt | Citing Article:  N03-2017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first algorithm is similar to Competitive Linking (Melamed, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The competitive linking algorithm implements this heuristic: N.B.</S><S sid = NA ssid = NA>The purpose of the competitive linking algorithm is to help us re-estimate the model parameters.</S> | Discourse Facet:  NA | Annotator: Automatic


