Citance Number: 1 | Reference Article:  A00-2009.txt | Citing Article:  N01-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have presented an ensemble approach to word sense disambiguation (Pedersen, 2000) where multiple Naive Bayesian classiers, each based on co-occurrence features from varying sized windows of context, is shown to perform well on the widely studied nouns interest and line.</S> | Reference Offset:  ['1','151'] | Reference Text:  <S sid = 1 ssid = >This paper presents a corpus-based approach to word sense disambiguation that builds an ensemble of Naive Bayesian classifiers, each of which is based on lexical features that represent co—occurring words in varying sized windows of context.</S><S sid = 151 ssid = >A methodology for formulating an ensemble of Naive Bayesian classifiers is presented, where each member classifier is based on co—occurrence features extracted from a different sized window of context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-2009.txt | Citing Article:  P14-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pedersen (2000) proposed an ensemble model with multiple NB classifiers differing by context window size.</S> | Reference Offset:  ['13','67'] | Reference Text:  <S sid = 13 ssid = >It has also been shown that the combined accuracy of an ensemble of multiple classifiers is often significantly greater than that of any of the individual classifiers that make up the ensemble (e.g., (Dietterich, 1997)).</S><S sid = 67 ssid = >The size and range of the left window of context is indicated along the horizontal margin in Tables 3 and 4 while the right window size and range is shown along the vertical margin.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-2009.txt | Citing Article:  C04-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is similar to the ordinary Naive Bayes model for WSD (Pedersen, 2000).</S> | Reference Offset:  ['78','156'] | Reference Text:  <S sid = 78 ssid = >Similar differences in training and testing methodology exist among the other studies.</S><S sid = 156 ssid = >A preliminary version of this paper appears in (Pedersen, 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-2009.txt | Citing Article:  W02-0812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The origins of Duluth can be found in an ensemble approach based on multiple Naive Bayesian classifiers that perform disambiguation via a majority vote (Pedersen, 2000).</S> | Reference Offset:  ['6','135'] | Reference Text:  <S sid = 6 ssid = >This paper presents a corpus—based approach that results in high accuracy by combining a number of very simple classifiers into an ensemble that performs disambiguation via a majority vote.</S><S sid = 135 ssid = >In this paper ensemble disambiguation is based on a simple majority vote of the nine member classifiers.</S> | Discourse Facet:  NA | Annotator: Automatic


