Citance Number: 1 | Reference Article:  P06-1011.txt | Citing Article:  W08-1911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>HR001106-C-0022.</S><S sid = NA ssid = NA>We use it to estimate the independence of pairs of words which cooccur in our parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1011.txt | Citing Article:  P13-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We employ the same algorithm used in (Munteanu and Marcu, 2006) which first use the GI ZA++ (with grow-diag-final-and heuristic) to obtain the word alignment between source and target words, and then calculate the association strength between the aligned words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, since we want to distinguish between source words that have a translation on the target side and words that do not, we also need a measure of the probability that two words are not translations of each other.</S><S sid = NA ssid = NA>We follow Resnik et. al (2001) and adopt a stronger definition, based not on sentence alignment but on word alignment: two words cooccur if they are linked together in the word-aligned parallel training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1011.txt | Citing Article:  P13-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Munteanu and Marcu (2006) first extract the candidate parallel sentences from the comparable corpora and further extract the accurate sub-sentential bilingual fragments from the candidate parallel sentences using the in-domain probabilistic bilingual lexicon.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a novel method for extracting parallel sub-sentential fragments from comparable, non-parallel bilingual corpora.</S><S sid = NA ssid = NA>Extracting Parallel Sub-Sentential Fragments From Non-Parallel Corpora</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1011.txt | Citing Article:  P13-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They are neither parallel nor comparable because we cannot even extract a small number of parallel sentence pairs from this monolingual data using the method of (Munteanu and Marcu, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This method enables us to extract useful machine translation training data even from very non-parallel corpora, which contain no parallel sentence pairs.</S><S sid = NA ssid = NA>On each of our comparable corpora, and using each of our initial parallel corpora, we apply both the fragment extraction and the sentence extraction method of Munteanu and Marcu (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1011.txt | Citing Article:  C08-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Munteanu and Marcu (2006) proposed a method for extracting parallel sub sentential fragments from very non-parallel bilingual corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Extracting Parallel Sub-Sentential Fragments From Non-Parallel Corpora</S><S sid = NA ssid = NA>We present a novel method for extracting parallel sub-sentential fragments from comparable, non-parallel bilingual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


