Citance Number: 1 | Reference Article:  P85-1018.txt | Citing Article:  C86-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An answer to these problems was presented by Shieber (1985) who proposed to do Earley prediction on the basis of some finite quotient of all constituent DAGs which can be specified by the grammar writer.</S> | Reference Offset:  ['118','121'] | Reference Text:  <S sid = 118 ssid = >This standard Earley's algorithm is presented in Section 4.2.</S><S sid = 121 ssid = >This extended Earley's algorithm is presented in Section 4.3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P85-1018.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Change in the citation purpose of Shieber (1985) paper.</S> | Reference Offset:  ['34','108'] | Reference Text:  <S sid = 34 ssid = >Forcing the primacy and atomicity of major category defeats part of the purpose of structured category systems.</S><S sid = 108 ssid = >Before proceeding to describe parsing such a context-freebased PATR-II, we make one more purely notational change.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P85-1018.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar analysis can be applied to the change in citation purpose of Shieber (1985) as illustrated in Figure 1.</S> | Reference Offset:  ['34','51'] | Reference Text:  <S sid = 34 ssid = >Forcing the primacy and atomicity of major category defeats part of the purpose of structured category systems.</S><S sid = 51 ssid = >= Furthermore, the grammar designer should not be held down in building an analysis by limitations of the algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P85-1018.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shieber (1985) proposes a more efficient approach to gaps in the PATR-II formalism, extending Earley's algorithm by using.</S> | Reference Offset:  ['24','114'] | Reference Text:  <S sid = 24 ssid = >In Section 4, we develop a correct, complete and terminating extension of Earley's algorithm for the PATR-II formalism using the restriction notion.</S><S sid = 114 ssid = >We now develop a concrete example of the use of restriction in parsing by extending Earley's algorithm to parse grammars in the PATR-II formalism just presented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P85-1018.txt | Citing Article:  C02-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >PATR-II (Shieber, 1985) into context-free grammars (CFG).</S> | Reference Offset:  ['125','135'] | Reference Text:  <S sid = 125 ssid = >We start with the Earley algorithm for context-free-based PATR-II on which the other algorithms are based.</S><S sid = 135 ssid = >Consequently, this algorithm applies only to PATR-II with a context-free base.</S> | Discourse Facet:  NA | Annotator: Automatic


