Citance Number: 1 | Reference Article:  C02-1025.txt | Citing Article:  C10-2104.txt | Citation Marker Offset:  ['115'] | Citation Marker:  Chieu and Ng, 2002 | Citation Offset:  ['115'] | Citation Text:  <S sid ="115" ssid = "27">In such cases, neither global features (Chieu and Ng, 2002) nor aggregated contexts (Chieu and Ng, 2003) can help.</S> | Reference Offset:  ['63'] | Reference Text:  <S sid ="63" ssid = "3">Global features are extracted from other occurrences of the same token in the whole document.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |


Citance Number: 2 | Reference Article:  C02-1025.txt | Citing Article:  C10-2167.txt | Citation Marker Offset:  ['65'] | Citation Marker:  Chieu et al., 2002 | Citation Offset:  ['65'] | Citation Text:  <S sid ="65" ssid = "25">In statistical methods, the most popular models are Hidden Markov Models (HMM) (Rabiner, 1989), Maximum Entropy Models (ME) (Chieu et al., 2002) and Conditional Random Fields (CRF) (Lafferty et al., 2001).</S> | Reference Offset:  ['4'] | Reference Text:  <S sid ="4" ssid = "4">In this paper, we show that the maximum entropy framework is able to make use of global information directly, and achieves performance that is comparable to the best previous machine learning-based NERs on MUC6 and MUC7 test data.</S> | Discourse Facet:  Results_Citation | Annotator:  Aakansha Gehlot |


Citance Number: 3 | Reference Article:  C02-1025.txt | Citing Article:  I05-3013.txt | Citation Marker Offset:  ['88'] | Citation Marker:  Chieu and Ng, 2002 | Citation Offset:  ['88'] | Citation Text:  <S sid ="88" ssid = "6">The latter is currently dominating in NER amongst which the most popular methods are decision tree (Sekine et al., 1998; Pailouras et al., 2000), Hidden Markov Model (Zhang et al., 2003; Zhao, 2004), maximum entropy (Chieu and Ng, 2002; Bender et al., 2003), and support vector machines (Isozaki and Kazawa, 2002; Takeuchi and Collier, 2002; Mayfield, 2003).From the linguistic perspective, NIL expres sions are rather different from named entities in nature.</S> | Reference Offset:  ['4'] | Reference Text:  <S sid ="4" ssid = "4">In this paper, we show that the maximum entropy framework is able to make use of global information directly, and achieves performance that is comparable to the best previous machine learning-based NERs on MUC6 and MUC7 test data.</S> | Discourse Facet:  Results_Citation | Annotator:  Aakansha Gehlot |


Citance Number: 4 | Reference Article:  C02-1025.txt | Citing Article:  I05-3030.txt | Citation Marker Offset:  ['33'] | Citation Marker:  Chieu 2002 | Citation Offset:  ['33'] | Citation Text:  <S sid ="33" ssid = "33">modelâ€™s conditional probability is defined as Another model is Maximum Entropy (Zhao Jian 2005, Hai Leong Chieu 2002).</S> | Reference Offset:  ['196'] | Reference Text: <S sid ="196" ssid = "1">We have shown that the maximum entropy framework is able to use global information directly.</S> | Discourse Facet: Results_Citation | Annotator:  Aakansha Gehlot |


