Citance Number: 1 | Reference Article:  W04-3237.txt | Citing Article:  W06-1615.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chelba and Acero (2004) first traina classifier on the source data.</S> | Reference Offset:  ['8','107'] | Reference Text:  <S sid = 8 ssid = >We study the impact of using increasing amounts of training data as well as using a small amount of adaptation data on this simple problem that is well suited to data-driven approaches since vast amounts of “training” data are easily obtainable by simply wiping the case information in text.</S><S sid = 107 ssid = >The “There’s no data like more data” rule-of-thumb could be amended by “..., especially if it’s the right data!”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3237.txt | Citing Article:  P08-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Chelba and Acero, 2004) study the impact of using increasing amounts of training data as well as a small amount of adaptation.</S> | Reference Offset:  ['8','108'] | Reference Text:  <S sid = 8 ssid = >We study the impact of using increasing amounts of training data as well as using a small amount of adaptation data on this simple problem that is well suited to data-driven approaches since vast amounts of “training” data are easily obtainable by simply wiping the case information in text.</S><S sid = 108 ssid = >As future work we plan to investigate the best way to blend increasing amounts of less-specific background training data with specific, in-domain data for this and other problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3237.txt | Citing Article:  P07-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first model, which we shall refer to as the PRIOR model, was first introduced by Chelba and Acero (2004).</S> | Reference Offset:  ['60','61'] | Reference Text:  <S sid = 60 ssid = >The regularized log-likelihood of the adaptation training data becomes: The adaptation is performed in stages: Fadapt \ Fbackground4 introduced in the model receive 0 weight.</S><S sid = 61 ssid = >The resulting model is thus equivalent with the background model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3237.txt | Citing Article:  P07-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chelba and Acero (2004) describe this approach within the context of a maximum entropy classifier, but the idea is more general.</S> | Reference Offset:  ['1','44'] | Reference Text:  <S sid = 1 ssid = >A novel technique for maximum “a posteriori” (MAP) adaptation of maximum entropy (MaxEnt) and maximum entropy Markov models (MEMM) is presented.</S><S sid = 44 ssid = >A simple approach to sequence labeling is the maximum entropy Markov model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-3237.txt | Citing Article:  P07-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chelba and Acero (2004) use the parameters of the maximum entropy model learned from the source domain as the means of a Gaussian prior when training a new model on the target data.</S> | Reference Offset:  ['56','57'] | Reference Text:  <S sid = 56 ssid = >A simple way to accomplish this is to use MAP adaptation using a prior distribution on the model parameters.</S><S sid = 57 ssid = >A Gaussian prior for the model parameters A has been previously used in (Chen and Rosenfeld, 2000) for smoothing MaxEnt models.</S> | Discourse Facet:  NA | Annotator: Automatic


