Citance Number: 1 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to two reviewers for useful comments.</S><S sid = NA ssid = NA>934 Attributes Tokens FORM LEMMA CPOSTAG POSTAG FEATS DEPREL S: Top + + + + + + S: Top?1 + I: Next + + + + + I: Next+1 + + I: Next+2 + I: Next+3 + G: Head of Top + G: Leftmost dependent of Top + G: Rightmost dependent of Top + G: Leftmost dependent of Next + Figure 1: Baseline feature model (S = Stack, I = Input, G = Graph).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to two reviewers for useful comments.</S><S sid = NA ssid = NA>934 Attributes Tokens FORM LEMMA CPOSTAG POSTAG FEATS DEPREL S: Top + + + + + + S: Top?1 + I: Next + + + + + I: Next+1 + + I: Next+2 + I: Next+3 + G: Head of Top + G: Leftmost dependent of Top + G: Rightmost dependent of Top + G: Leftmost dependent of Next + Figure 1: Baseline feature model (S = Stack, I = Input, G = Graph).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One system (Hall et al, 2007b) extends this two-stage approach to a three-stage architecture where the parser and labeler generate an n-best list of parses which in turn is reranked.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The second parser is an ensemble system, which combines the output of six deterministic parsers, each of which is a variation of the Single Malt parser with parameter settings extrapolated from the first stage of optimization.</S><S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to two reviewers for useful comments.</S><S sid = NA ssid = NA>934 Attributes Tokens FORM LEMMA CPOSTAG POSTAG FEATS DEPREL S: Top + + + + + + S: Top?1 + I: Next + + + + + I: Next+1 + + I: Next+2 + I: Next+3 + G: Head of Top + G: Leftmost dependent of Top + G: Rightmost dependent of Top + G: Leftmost dependent of Next + Figure 1: Baseline feature model (S = Stack, I = Input, G = Graph).</S> | Discourse Facet:  NA | Annotator: Automatic

