Citance Number: 1 | Reference Article:  W04-2401.txt | Citing Article:  W04-2421.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar method was used for entity/relation recognition (Roth and Yih, 2004).</S> | Reference Offset:  ['9','152'] | Reference Text:  <S sid = 9 ssid = >In named entity recognition, “no entities can overlap” is a common constraint used in various works (Tjong Kim Sang and De Meulder, 2003).</S><S sid = 152 ssid = >Lt.) name3 the phrase is/has a known person’s name For the relation classifier, there are three sets of features: (1) features similar to those used in the entity classification are extracted from the two argument entities of the relation; (2) conjunctions of the features from the two arguments; (3) some patterns extracted from the sentence or between the two arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-2401.txt | Citing Article:  P09-2015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Supervised methods such as (Culotta and Sorensen, 2004) and (Roth and Yih, 2004) provide only a partial solution, as there are many possible relations and entities of interest for a given domain, and such approaches require new annotated data each time a new relation or entity type is needed.</S> | Reference Offset:  ['41','198'] | Reference Text:  <S sid = 41 ssid = >Given n entities in a sentence, there are O(n2) possible relations between them.</S><S sid = 198 ssid = >We force the system to determine which of the possible relations in a sentence (i.e., which pair of entities) has this relation by adding a new linear equality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-2401.txt | Citing Article:  P08-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our model for disentanglement fits into the general class of graph partitioning algorithms (Roth and Yih, 2004) which have been used for a variety of tasks inNLP, including the related task of meeting segmentation (Malioutov and Barzilay, 2006).</S> | Reference Offset:  ['55','155'] | Reference Text:  <S sid = 55 ssid = >The correspondence between the relation and entity variables can be represented by a bipartite graph.</S><S sid = 155 ssid = >The learning algorithm used is a variation of the Winnow update rule incorporated in SNoW (Roth, 1998; Roth and Yih, 2002), a multi-class classifier that is specifically tailored for large scale learning tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-2401.txt | Citing Article:  P08-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Roth and Yih (2004) use log probabilities as weights.</S> | Reference Offset:  ['78','159'] | Reference Text:  <S sid = 78 ssid = >The specific cost function we use is defined as follows: Let l be the label assigned to variable u ∈ V. If the marginal probability estimation is p = P(fu = l), then the assignment cost cu(l) is − log p. Constraint cost: the cost imposed by breaking constraints between neighboring nodes.</S><S sid = 159 ssid = >We use softmax (Bishop, 1995) over the raw activation values as conditional probabilities.</S> | Discourse Facet:  NA | Annotator: Automatic


