Citance Number: 1 | Reference Article:  P06-3002.txt | Citing Article:  N07-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Ideally, the application should tell us the granularity of our tagger: e.g. semantic class learners could greatly benefit from the high-granular word sets arising in both of our partitionings, which we endeavoured to lump into a coarser tagset here.</S><S sid = NA ssid = NA>It is time-linear with respect to the number of edges, making its application viable even for graphs with several million nodes and edges.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-3002.txt | Citing Article:  N07-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Biemann (2006b), the tagger output was directly compared to supervised taggers for English, German and Finnish via information-theoretic measures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The resulting taggers are evaluated against outputs of supervised taggers for various languages.</S><S sid = NA ssid = NA>We supported the claim of language-independence by validating the output of our system against supervised systems in three languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-3002.txt | Citing Article:  P10-2038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We train SVM Tool and an unsupervised tagger, Unsupos (Biemann, 2006), on our training sections and apply them to the development, test and unlabeled sections.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unlike in supervised scenarios, our task is not to train a tagger model from a small corpus of hand-tagged data, but from our clusters of derived syntactic categories and a considerably large, yet unlabeled corpus.</S><S sid = NA ssid = NA>Finally, we train a Viterbi tagger with this lexicon and augment it with an affix classifier for unknown words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-3002.txt | Citing Article:  W07-0212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Nevertheless, many of the practically useful spell checkers incorporate context information and the current analysis on SpellNet can be extended for such spell-checkers by conceptualizing a network of words that capture the word co-occurrence patterns (Biemann, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For assigning classes, we use the Chinese Whispers (CW) graph-clustering algorithm, which has been proven useful in NLP applications as described in (Biemann 2006).</S><S sid = NA ssid = NA>The word’s global context is the sum of all its contexts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-3002.txt | Citing Article:  P10-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Ideally, the application should tell us the granularity of our tagger: e.g. semantic class learners could greatly benefit from the high-granular word sets arising in both of our partitionings, which we endeavoured to lump into a coarser tagset here.</S><S sid = NA ssid = NA>It is time-linear with respect to the number of edges, making its application viable even for graphs with several million nodes and edges.</S> | Discourse Facet:  NA | Annotator: Automatic


