Citance Number: 1 | Reference Article:  P92-1008.txt | Citing Article:  P93-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Results of testing the first stage of this model, the lexical pattern matcher, are reported in (Bear et al, 1992): 309 of 406 utterance containing nontrivial  repairs in their 10,718 utterance corpus were correctly identified, while 191 fluent utterances were incorrectly identified as containing repairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, out of the 10,517 sentence corpus (10,718 — 201 trivial), it incorrectly hypothesized that an additional 191 contained repairs.</S><S sid = NA ssid = NA>The pattern-matching component reported on here looks for identical sequences of words, and simple syntactic anomalies, such as &quot;a the&quot; or &quot;to from.&quot; Of the 406 sentences containing nontrivial repairs, the program successfully found 309.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P92-1008.txt | Citing Article:  P93-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bear et al (1992) also speculate that acoustic information might be used to filter out false positives for candidates matching two of their lexical patterns - repetitions of single words and cases of single inserted words - but do not report such experimentation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 1 shows examples of the notation used, which is described fully in Bear et al. (1992).</S><S sid = NA ssid = NA>In this section we describe first how prosodic information can help in distinguishing repairs from false positives for patterns involving matched words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P92-1008.txt | Citing Article:  N03-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As noted in (Bear et al, 1992), knowledge about the location of word fragments would be an invaluable cue to both detection and correction of disfluencies.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Integrating Multiple Knowledge Sources For Detection And Correction Of Repairs In Human-Computer Dialog</S><S sid = NA ssid = NA>Table 1 shows examples of the notation used, which is described fully in Bear et al. (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P92-1008.txt | Citing Article:  W98-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For annotating speech repairs, we have extended the scheme proposed by Bear et al (1992) so that it better deals with overlapping and ambiguous repairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 1 shows examples of the notation used, which is described fully in Bear et al. (1992).</S><S sid = NA ssid = NA>Since multiple repairs and false positives can occur in the same sentence, the pattern matching process is constrained to prefer fewer repairs to more repairs, and shorter repairs to longer repairs.</S> | Discourse Facet:  NA | Annotator: Automatic


