Citance Number: 1 | Reference Article:  P07-1059.txt | Citing Article:  I08-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently (Riezler et al, 2007) used statistical machine translation for query expansion and took a step towards bridging the lexical gap between questions and answers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present an approach to query expansion in answer retrieval that uses Statistical Machine Translation (SMT) techniques to bridge the lexical gap between questions and answers.</S><S sid = NA ssid = NA>Statistical Machine Translation for Query Expansion in Answer Retrieval</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1059.txt | Citing Article:  W12-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riezler et al (2007) define the problem of answer retrieval from FAQ and social Q/A websites as a query expansion problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper we will concentrate on the task of answer retrieval from FAQ pages, i.e., an IR problem where user queries are matched against documents consisting of question-answer pairs found in FAQ pages.</S><S sid = NA ssid = NA>A similar picture emerges for query expansion in QA: Mixed results have been reported for wordby-word expansion based on WordNet (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1059.txt | Citing Article:  W12-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>With the exception of the query expansion approaches (Riezler et al, 2007), all works discussed here use some form of noisy-channel model (translation model and target language model) but do not perform the decoding part of the SMT process to generate translations, nor use the rich set of features of a full SMT.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>None of these approaches defines the problem of the lexical gap as a query expansion problem, and both approaches use much simpler SMT models than our systems, e.g., Radev et al. (2001) neglect to use a language model to aid disambiguation of translation choices, and Duboue and Chu-Carroll (2006) use SMT as black box altogether.</S><S sid = NA ssid = NA>Our second query expansion model is based on the use of SMT technology for full-sentence paraphrasing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1059.txt | Citing Article:  W12-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Furthermore, we plan to include the Level 1 translations into the candidate answer generation module in order to do query expansion in the style of Riezler et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A similar picture emerges for query expansion in QA: Mixed results have been reported for wordby-word expansion based on WordNet (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001).</S><S sid = NA ssid = NA>For example, syntactic information has been deployed to reformulate questions (Hermjakob et al., 2002) or to replace questions by syntactically similar ones (Lin and Pantel, 2001); lexical ontologies such as Wordnet1 have been used to find synonyms for question words (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001), and statistical machine translation (SMT) models trained on question-answer pairs have been used to rank candidate answers according to their translation probabilities (Berger et al., 2000; Echihabi and Marcu, 2003; Soricut and Brill, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic

