Citance Number: 1 | Reference Article:  C96-2141.txt | Citing Article:  W01-1408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This would be more difficult in the HMM alignment model (Vogel et al., 1996).</S> | Reference Offset:  ['21','44'] | Reference Text:  <S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S><S sid = 44 ssid = >a.2 Al ignment w i th HMM We now propose all HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C96-2141.txt | Citing Article:  P14-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most classical approaches are the probabilistic IBM models (Brown et al, 1993) and the HMM model (Vogel et al, 1996).</S> | Reference Offset:  ['7','127'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 127 ssid = >(confer model 4 in (Brown et al, 1990)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C96-2141.txt | Citing Article:  P14-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','139'] | Reference Text:  <S sid = 43 ssid = >Thus l.he resulting train- ing procedure is straightforward.</S><S sid = 139 ssid = >This research was partly supported by the (\]er- man Federal Ministery of Education, Science, t{e- search and Technology under the Contract Num- ber 01 IV 601 A (Verbmobil) and under the Esprit Research Project 20268 'EuTrans).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C96-2141.txt | Citing Article:  N12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Word alignments were induced from the HMM based alignment model (Vogel et al, 1996), initialized with the bi lexical parameters of IBM Model 1 (Brown et al, 1993).</S> | Reference Offset:  ['7','21'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C96-2141.txt | Citing Article:  D07-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Much of the additional work on generative modeling of 1 to N word alignments is based on the HMM model (Vogel et al, 1996).</S> | Reference Offset:  ['21','44'] | Reference Text:  <S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S><S sid = 44 ssid = >a.2 Al ignment w i th HMM We now propose all HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


