Citance Number: 1 | Reference Article:  C94-2174.txt | Citing Article:  C00-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Karlgren and Cutting (1994) use a combination of structural markers (e.g., noun count), lexical markers (e.g., it count), and token-level markers (e.g., words per sentence average ,type/token ratio, etc.).</S> | Reference Offset:  ['46','98'] | Reference Text:  <S sid = 46 ssid = >we used the Browu corpus of English text sn,i, )hs of uuifolnt length, ca.l,cgorized ht se,cral cal.cgorh~s I07/ Variable Range Adverb count 19 - 157 Character  count 7601 12143 ],ong word count (> 6 chars) 168 - 838 Preposit ion count 151 433 Seeond person pronoun count 0 - 89 "Therefore" count 0 -  11 Words per sentence average 8.2 - 5a.2 Chars / sentence average 34.6 266.3 First person pronoun count 0 - 156 "Me" count 0 3(1 Present part iciple count 6 - 1(11 Sentence count 40 236 Type / token rat io 14.3 - 53.0 "I" count 0 120 Character  per word average 3.8 - 5.8 "It" count 1 - 53 Noun count 243 -- 75:l Present verb count 0 - 79 "That"  count :1 72 "Which" count 0 -- 40 Fable 2: Parameters  for l ) i sc r iminant  Ana lys i s Category  I tems Er rors [.</S><S sid = 98 ssid = >word length, sentence length, and different derivatives of these two parameters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C94-2174.txt | Citing Article:  E12-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Work on automated genre classification was first carried out by Karlgren and Cutting (1994).</S> | Reference Offset:  ['94','99'] | Reference Text:  <S sid = 94 ssid = >Readab i l i ty  Index ing Not unrel~Lted to the study of genre is the study of rcadabilily which aims to categorize texts aecoMing to their suital)ility for assumed sets of assumed readers.</S><S sid = 99 ssid = >As long as readM)ility indexing nchemes are used iT, descriptive at)l)lications they work well to discrinlilml;e between text types.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C94-2174.txt | Citing Article:  E12-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Karlgren and Cutting (1994), I tested my approach on all three levels of granularity.</S> | Reference Offset:  ['81','102'] | Reference Text:  <S sid = 81 ssid = >The error rates clinlt) steelfly with the iiunlher of categories tested Ibr in the (:()rims we used.</S><S sid = 102 ssid = >The technique denionstrated above has au obvious application in in- formatiol~ retrieval, for l)ieking out interesting texts, if (cutest  based methods select a too large set for easy nlanipulation and browning (Cutting c/ al, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C94-2174.txt | Citing Article:  N09-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','145'] | Reference Text:  <S sid = 36 ssid = >Mystery - - N. Adv.</S><S sid = 145 ssid = >The ,5/,5.b Ib:[ercncc (;~+id+:, (.qdca+go: ,qP,q5 I I IC+ 7075</S> | Discourse Facet:  NA | Annotator: Automatic


