Citance Number: 1 | Reference Article:  P93-1001.txt | Citing Article:  W93-0301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The program takes the output of char_align (Church, 1993), a robust alternative to sentence-based alignment programs, and applies word-level constraints using a version of Brown el al.'s Model 2 (Brown et al, 1993), modified and extended to deal with robustness issues.</S> | Reference Offset:  ['1','61'] | Reference Text:  <S sid = 1 ssid = >have been a number of recent papers on aligning parallel texts at the sentence level, e.g., Brown al and Church (to appear), Isabelle (1992), Kay and Rosenschein (to appear), Simard al Warwick— Armstrong and Russell (1990).</S><S sid = 61 ssid = >Because of the noise issues, we decided to look for an alternative to paragraph—based alignment methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P93-1001.txt | Citing Article:  P98-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','150'] | Reference Text:  <S sid = 55 ssid = >— Je pense que vous venez de parler de quatre urgences en une seule.</S><S sid = 150 ssid = >Char_align has succeeded in meeting many of these goals because it works at the character level and does not depend on finding sentence and/or paragraph boundaries which are surprisingly elusive in realistic applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P93-1001.txt | Citing Article:  E95-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work by Simard, Foster and Isabelle (1993) as well as Church (1993) demonstrated that cognate-matching strategies can be highly effective in aligning text.</S> | Reference Offset:  ['1','81'] | Reference Text:  <S sid = 1 ssid = >have been a number of recent papers on aligning parallel texts at the sentence level, e.g., Brown al and Church (to appear), Isabelle (1992), Kay and Rosenschein (to appear), Simard al Warwick— Armstrong and Russell (1990).</S><S sid = 81 ssid = >How does char_align work?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P93-1001.txt | Citing Article:  N01-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Church (1993) uses 4-grams at the level of character sequences.</S> | Reference Offset:  ['0','62'] | Reference Text:  <S sid = 0 ssid = >Char Align: A Program For Aligning Parallel Texts At The Character Level</S><S sid = 62 ssid = >The resulting program, char_align, works at the character level using an approach inspired by the cognate method proposed in Simard et al (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


