Citance Number: 1 | Reference Article:  W07-0733.txt | Citing Article:  D07-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Factored translation models have also been used for the integration of CCG supertags (Birch et al, 2007), domain adaptation (Koehn and Schroeder, 2007) and for the improvement of English-Czech translation (Bojar, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This alternate decoding path model was developed by Birch et al. (2007).</S><S sid = NA ssid = NA>The open source Moses (Koehn et al., 2007) MT system was originally developed at the University of Edinburgh and received a major boost through a 2007 Johns Hopkins workshop.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-0733.txt | Citing Article:  P13-2058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The novel aspect of task alternation introduced in this paper can be applied to all approaches incorporating SMT for sentence retrieval from comparable data. For our baseline system we use in-domain language models (Bertoldi and Federico, 2009) and meta-parameter tuning on in-domain development sets (Koehn and Schroeder, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We trained two language models, one for each the out-of-domain and the in-domain training data.</S><S sid = NA ssid = NA>All perform better than the three baseline approaches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-0733.txt | Citing Article:  W08-0327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Work on domain adaptation for statistical machine translation (Koehn and Schroeder, 2007) tries to bring solutions to this issue.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Experiments in Domain Adaptation for Statistical Machine Translation</S><S sid = NA ssid = NA>Since training data for statistical machine translation is typically collected opportunistically from wherever it is available, the application domain for a machine translation system may be very different from the domain of the system’s training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-0733.txt | Citing Article:  W09-0421.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on Koehn and Schroeder (2007) we adapted our system from last year, which was focused on Europarl, to perform well on test data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the Europarl test sets, we did not use any domain adaptation techniques, but simply used either just the Europarl training data or the combined data — whatever gave the higher score on the development test set, although scores differed by only about 0.1–0.2 %BLEU.</S><S sid = NA ssid = NA>All perform better than the three baseline approaches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W07-0733.txt | Citing Article:  W09-0405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although the Moses decoder is able to work with two phrase tables at once (Koehn and Schroeder, 2007), it is difficult to use this method when there is more than one additional model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here, we take advantage of a feature of the Moses decoder’s factored translation model framework.</S><S sid = NA ssid = NA>We decided to use the interpolated language model method described in Section 2.5.</S> | Discourse Facet:  NA | Annotator: Automatic


